,titles,keys,cluster_num
11089,Midea Upright Freezer,"['power_description', 'energy_star']",-1
11088,"Prilosec OTC Heartburn Relief Tablets, 42 Ct by Prilosec",['color'],-1
11087,1:16 Scale Audi Q7 controlled car Remote control car,"['type', 'power']",-1
10955,4-1/4 in. x 6 in. Brown Felt Blanket (2-Pack),"['package_quantity', 'color_family', 'color', 'duty_rating']",-1
10956,"Shenzhen Hyleton Technology Co. ,Ltd","['color', 'min_order', 'fob_port']",-1
10959,Maybach 62 LWB gray red Autoart 1/43,"['engine', 'transmission']",-1
10960,"Golden Airbrush Medium, 8 Oz","['paint_type', 'quantity']",-1
10964,Chelsea Single Cylinder Lifetime Polished Brass Handleset with Juno Knob Featuring SmartKey,"['certifications_and_listings', 'hardware_finish_family', 'door_locks_knobs_product_type', 'application_type', 'commercialresidential', 'lock_type', 'knob_style', 'door_handing', 'securityansi_grade', 'interiorexterior']",-1
10965,"Conforming Gauze Roll Bandage, Sterile 1"" x 4.1yd - 12 per bag","['hazmat', 'discontinued']",-1
10966,Chuck Berry - Definitive Collection CD,"['orig_year', 'additional_info', 'discs']",-1
10967,35 Ft. Insulated Refrigeration Line Set,['weight'],-1
10968,Garmin Striker 4cv CHIRP Sonar Fish Finder with GPS and ClearVü Scanning Sonar,['backlight'],-1
10969,Axis Communications F44 Main Unit Video Server,['humidity_range_operating'],-1
10970,Alex's Adventures in Numberland Paperback,['format'],-1
10954,"Ampad Evidence Glue Top 8-1/2"" x 11"" Pads","['paper_weight', 'number_of_sheets_per_pad', 'punchedunpunched']",-1
10972,1/2 in. Titanium Pilot Point Drill Bit,"['individualset', 'color_family', 'tools_product_type']",-1
10975,Samsung RT28K3043S8,"['door_lock', 'color', 'door_alarm']",-1
10976,3M Large Hooks Value Pack,['assembly_required'],-1
10977,Ahmad Jamal - Chamber Music of the New Jazz CD,['discs'],-1
10978,GENUINE USED Mitsubishi Pajero Shogun MK3 3.2 DID TOP RADIATOR HOSE,['intended_use'],-1
10980,Luce mini pendant,"['number_of_bulbs', 'general_style', 'suspension', 'essential_properties', 'price', 'lamp_type']",-1
10984,Coleman Cable 100' 12/3 SJEOW Polar/Solar Extension Cord 01689 New,"['package_quantity', 'free_shipping', 'ships_to', 'color']",-1
10985,Big Valley: Season 1 (DVD),"['format', 'rating']",-1
10986,Fine Art La Baule Decorative Canvas Poster Contemporary Home Kitchen Bar Decor,"['color', 'platform']",-1
10987,Nintendo 3DS XL System - Red/Black by Nintendo,['color'],-1
10988,Details about Ultra Luxurious Elegant Sheer Grommet Curtain Panels - Assorted Colors,['pattern'],-1
10989,SV300S3D7/120G SV300S3D7/120G,['form_factor'],-1
10974,"3/8"" Grade 43 5400lb-WLL Bright High Test Chain","['size', 'finish']",-1
10991,DRIVESHAFT CV REAR TJ 97-06 2INCH-6 INCH LIFT,['shipping'],-1
10952,Ryan Belluni RI 3011 001,['frame_material'],-1
10950,Safe Way Traction 2' x 60' Roll of Abrasive 80 Grit Anti Slip Non Skid Auto Truck Trailer Safety Tape 3100-2,['date_first_available'],-1
10920,DrayTek Vigor 2860n,['binding'],-1
10921,Passive Income: Top Passive Income Strategies for the Motivated who want Financial Freedom and Make Money While Sleeping (Top Ideas to Create your Money ... Extra Cash and Financial Freedom Book 1),"['x-ray', 'print_length', 'sold_by', 'lending']",-1
10922,18-Pack Plastic Hangers - Room Essentials™,"['battery', 'features']",-1
10923,Transparent Clear Open Toe Ankle Strap Sandal…,"['heel_height', 'width']",-1
10925,Artificial Orange Table Coral Synthetic Reef Marine Aquarium Fish Tank Ornament Decoration,['category'],-1
10926,COOL House Plan ID: chp-48474,['window_type'],-1
10927,GAZELLE - Trainers - core black/white/gold metallic,['sole'],-1
10928,The Takeout Cooler,['best_use'],-1
10930,Cube Attain GTC SL Disc 2017 Road Bike,['number_of_gears'],-1
10931,Dual Stereo Headset,['part_number'],-1
10933,Belle in RED Miss Kg,['sole'],-1
10951,Crown - Crown Diamond Deluxe™ Duet Vinyl-Loop Scraper Mat,['unit_of_measure'],-1
10934,The Walking dead action Figure zombie Figures head,"['theme', 'age_range', 'remote_control', 'item_type']",-1
10937,Gemini Item # A4615,['finish'],-1
10938,Murata Electronics NCP15XH103F0SRC,"['rohs', 'type', 'packaging']",-1
10939,"Flow My Tears, the Policeman Said",['paperback'],-1
10940,"Wagner 0503008 HT1000 1,200-watt Heat Gun","['number_of_handles', 'batteries_included', 'power_source', 'date_first_available', 'california_residents', 'size', 'color']",-1
10941,"Aqua-Supreme AP-8 Air Pump, 4 Outlet",['number_of_outlets'],-1
10942,"The Mark of Criminality: Rhetoric, Race, and Gangsta Rap in the War-on-Crime Era (Albma Rhetoric Cult & Soc Crit)",['hardcover'],-1
10943,Boss Audio SK652,['sensitivity'],-1
10945,Kyocera CAT40 Indexable Milling Face Mill Holder 0.75in Arbor Diameter,"['ships_to', 'location', 'free_shipping']",-1
10946,running near De Hoek (Netherlands),['sensors'],-1
10947,NetScout LinkRunner AT 2000 Extended Test Kit,"['expansion_slot_type', 'display_screen_type', 'ethernet_technology', 'battery_type', 'rechargeable', 'media_type_supported']",-1
10948,Welly Ktm 1190 Rc8 R Motorcycle 1/10 Scale Diecast Model Orange/Black,['age_group'],-1
10936,Square Standard Lawn 2-Line Address Plaque - Black/Silver,"['shape', 'finish', 'included', 'finish_family', 'returnable', 'features', 'orientation']",-1
10995,Jimi Hendrix / Jimi Experience Hendrix - Are You Experienced? CD,['discs'],-1
10997,Botanic Gardens,"['published', 'format']",-1
10998,Fiio X1 Portable High Resolution Lossless Music Player Silver with DELUXE KIT,"['free_shipping', 'features', 'memory_card_slot']",-1
11048,HP SB Thin Client t310 Tera2321 256 MB Flash 512 MB RAM,"['data_link_protocol', 'form_factor', 'interface', 'sound_output_mode', 'max_supported_qty', 'technology', 'location', 'connector_type', 'packaged_quantity', 'installed_qty', 'humidity_range_operating', 'support_details_full_contract_period', 'drive_type', 'qty', 'type', 'compatibility']",-1
11049,Reel caller:Search ID number.ريل كولر :هوية المتصل,['category'],-1
11051,Afghanistan Collectors Edition Book and Print,"['pages', 'format']",-1
11052,Details about 1875-S Twenty Cent Piece PCGS MS-64,['certification'],-1
11055,35mm Short Adjustable Aluminium Black PA Speaker Stand Kit 60KG With Carry Bag,"['product_group', 'package_quantity', 'binding']",-1
11057,15x15 in. Cabinet Door Sample in Thornton Maple with Dove White,"['color_family', 'returnable', 'finish_family']",-1
11059,16L agriculture battery sprayer,"['payment_terms', 'minimum_order_quantity', 'port', 'delivery_time']",-1
11060,MMF Industries Tamper-Evident Deposit Bag,"['packaged_quantity', 'color']",-1
11061,8 STEEL HD PIPE WRENCH,['tool_type'],-1
11063,"Bodyform Ultra Towels Goodnight Wings, 10 towels",['date_first_available'],-1
11064,Details about NEW Free People London Glimmer Anklet Socks Blue O/S NWT,"['color', 'pattern']",-1
11047,DS 5 1.6 BlueHDi (A) Authorised Dealer,"['seating_capacity', 'engine_layout', 'type', 'boot_capacity']",-1
11065,Wiggle Essentials Women's Long Sleeve Thermal Cycle Jersey,['hips'],-1
11068,Colpac Chattanooga Cold Therapy Large/standard-size Cold Pack (11 X 14) Blue,['platform'],-1
11070,Vaultz Cash Box - Black,"['care_and_cleaning', 'frame_material']",-1
11071,LifeLine Stem Faceplate Mount for Garmin Edge and GoPro,"['touchscreen', 'level', 'gps', 'interest']",-1
11075,"Monin Flavored Syrup, Blackberry, 33.8-Ounce Plastic Bottle (1 Liter)",['date_first_available'],-1
11076,Lexmark CS410dn,"['print_technology', 'processor']",-1
11077,GoPro Camera HERO+ LCD HD Video Recording Camera,"['batteries', 'color']",-1
11079,Before You Meet Prince Charming: A Guide to Radiant Purity,['format'],-1
11082,Little Giant 511322 10SN Series Sump Pump - 20' Power Cord,"['wattage', 'hertz', 'horsepower', 'voltage']",-1
11084,Youth Boys Black Zip Hooded Sweatshirt,['color'],-1
11085,"Sir kensington's classic ketchup, 14 ounce","['availability', 'color']",-1
11086,Fisher-Price Elephant Soother,"['age_range', 'age_group']",-1
11066,The Arab of the Future,"['publication_date', 'format']",-1
11046,Fripperry Golden Crochet Knit Earrings,"['occasion', 'color']",-1
11045,"Martin Custom OM-15 Gloss 1-3/4"" nut - 2-1/4"" Saddle - Full Tortoise Binding #54385",['neck_shape'],-1
11044,Covidien T.E.D. Continuing Care Knee High Closed Toe Stockings,['black'],-1
10999,Tutti Bambini 3 Piece Bears 3 Piece Room Set - Beech/White,"['colour', 'white']",-1
11001,Bach: English Suites,"['format', 'number_of_discs']",-1
11003,'As Is' Quacker Factory Short DreamJeannes Copper Crush Boot Cut Pant,"['rise', 'care', 'content']",-1
11005,LCD Monitor Online Store,['form_factor'],-1
11008,SCER253750 - ER Style Collets,['lead_time'],-1
11009,Prince Lionheart Corner Guards (Chocolate),['size'],-1
11010,Makita Dc18Rd Dual Port Charger,['binding'],-1
11011,Top Features of the De Rosa SK Pininfarina (Ultegra Di2 - 2016),"['number_of_gears', 'height', 'model_year', 'chain']",-1
11012,Swift Gti,"['year', 'cylinders', 'fuel_type', 'transmission']",-1
11014,Targus USB-C DisplayPort Alt-Mode Travel Dock,['warranty'],-1
11018,Moon Boot Moon Boot Moon Boot Crib Infant Round Toe Synthetic Pink Winter Boot,['outsole_material'],-1
11019,2 in. Distressed Antique Silver Hammered Round Knob,"['door_handing', 'package_quantity', 'builders_hardware_product_type', 'commercial_residential', 'hardware_finish_family', 'securityansi_grade', 'knob_shape']",-1
11020,Recorder from the Beginning: Pupil's Book 1,"['x-ray', 'print_length', 'sold_by', 'format']",-1
11021,SIIG 2-port USB Switch,"['host_interface', 'platform_supported', 'form_factor', 'total_number_of_usb_ports', 'environmental_certification', 'color']",-1
11023,Available Free to Non Members,['basement'],-1
11024,Women's Disney® Minnie Mouse Flip Flop Sandals,"['california_residents', 'width', 'sizing']",-1
11026,UP IN & OVER Bouncetastic Inflatable Bouncer,"['binding', 'warranty']",-1
11031,Deeptex Cotton Sarees,"['design', 'occasion']",-1
11033,CIPA Mirrors 10200 Custom Towing Mirror Set,['new'],-1
11035,Dell Latitude Laptops,['for_sale_by'],-1
11037,Conair FB3 Foot Bath Perp With Vibration & Heat,"['package_type', 'backlight']",-1
11038,Shark Rotator Lift-Away Upright Vacuum,['warranty_type_included'],-1
11039,"Sterling Industries Restoration Rusted Black Industrial Bookend, Set of 2",['usage'],-1
11041,Beren and Lúthien,['hardcover'],-1
11042,JAGUAR F-TYPE,"['tyre_size_rear', 'space_saver', 'alloys', 'length', 'tyre_size_front', 'gross_vehicle_weight', 'tyre_size_spare', 'turning_circle-kerb_to_kerb', 'no_of_seats', 'fuel_tank_capacity_litres']",-1
11284,Modway Furniture Pattern Office Chair in White,"['finish', 'assembly', 'usage']",-1
10919,Boy Kings of Texas: A Memoir,['paperback'],-1
11285,Vax Vcw-06 Carpet Washer,['unit'],-1
11288,Protect-A-Bed Premium Mattress Protector - Queen,"['color_family', 'fabric_care', 'audience', 'fabric']",-1
11522,Gaston Octagonal Ottoman,"['back_style', 'type', 'features', 'price', 'essential_properties', 'general_style', 'arm_style']",-1
11523,Women's Sunrise Woven Intarsia Shawl,['size_type'],-1
11524,Carpenters - Gold CD,"['orig_year', 'discs']",-1
11527,"Leawo DVD Ripper for Mac, Download Version",['software_type'],-1
11528,"StriVectin-AR Advanced Retinol Concentrated Serum, 1 fl. oz.","['classification', 'publication_date', 'color']",-1
11532,"Unions, Radicals, and Democratic Presidents: Seeking Social Change in the Twentieth Century (Contributions in American History)",['hardcover'],-1
11533,R-525-MB,"['wheel_diameter', 'wheel_colorfinish', 'wheel_type', 'caster_colorfinish', 'cushioning_resilience', 'mounting_bolt', 'overall_height', 'relative_cost', 'relative_capacity', 'mounting_plate', 'wheel_face', 'bolt_hole_1', 'floor_protection', 'bearing_type', 'mounting_plate_length', 'mounting_plate_width', 'abrasion_resistance', 'caster_rig_type', 'low_temp_range_f', 'rolling_ease', 'high_temp_range_f', 'swivel_or_rigid_caster', 'type', 'chemical_resistant', 'quiet_operations', 'impact_resistance', 'bolt_hole_2', 'moisture_resistance']",-1
11534,Stripe Linen T-shirt,['wash_care'],-1
11535,Legrand Adorne Magnesium SensaSwitch Auto On/Off Switch,"['assembly', 'usage']",-1
11536,Das Keyboard 4C Professional Soft Tactile Brown Compact Mechanical Keyboard Item # 648868,"['device_supported', 'keyboardkeypad_connectivity_technology', 'connector_type', 'color']",-1
11538,Parrot Minidrone Swing with Flypad - Black Minidrone Swing with Flypad,['contained_battery_type'],-1
11520,Generac Portable XP Series XP8000E Electric Start 5931,['fuel_type'],-1
11540,12V Food Milk Water Drink Bottle Cup Warmer Heater Car Auto Travel Baby L00084 OSTH,['quantity'],-1
11546,24 Piece Food Storage Container Set with Green lids,"['dishwasher_safe', 'color_family', 'package_quantity']",-1
11547,Cone Kitty 4 Glass Holiday Christmas Ornament by Accoutrements 773822131732,"['size', 'binding', 'color', 'productgroup']",-1
11548,White Energy-Saving Black-Out Drape Liner,"['fabric_care', 'audience', 'pattern', 'flame_retardant', 'number_of_pieces']",-1
11550,Carhartt V01 Firm Cotton Duck Arctic Vest,['size'],-1
11552,TOYOTA AURION,"['fuel_consumption', 'engine', 'model', '0-100_kmh', 'price', 'release_date', 'fuel_type', 'transmission']",-1
11553,Dodge Challenger Prices & Deals - Washington,"['transmissions_available', 'drive_wheels', 'seating']",-1
11554,Iron/Impressions 3-Hole 43 in. Vanity Top in White,"['in', 'features']",-1
11555,Details about Arboseal Butyl Glazing Tape (White) 12 Metres (15mm x 3mm),['colour'],-1
11556,2012 Chrysler 300 Limited RWD,"['drive_train', 'interior_color', 'interior', 'color']",-1
11557,Tiffany Style Sunflower Wall Lamp,"['light_direction', 'certifications_and_listings', 'bulb_type_included', 'connection_type', 'maximum_wattage_watts', 'shade_color_family', 'maximum_bulb_wattage', 'light_bulb_base_code', 'number_of_bulbs_required']",-1
11558,"The Sales Bible: The Ultimate Sales Resource, Revised Edition",['paperback'],-1
11543,Travelers Choice Freedom 3-piece Lightweight Hard-shell Spinning Rolling Luggage,['platform'],-1
11559,12U 19in Desktop Open Frame 2 Post Rack,['platform'],-1
11519,Details about 1972 Oldsmobile 442,"['for_sale_by', 'engine', 'drivetrain', 'year', 'exterior_color', 'doors', 'interior_color', 'fuel_type', 'transmission']",-1
11517,Skylanders SuperChargers Starter Pack - Wii U,['rating'],-1
11467,East at Main's Multicolored Cabinet,"['finish', 'number_of_doors', 'number_of_shelves', 'assembly_required', 'furniture_features', 'number_of_drawers']",-1
11470,Ka-Me Rice Crunch Cracker Black Sesame & Soy Sauce (12x3.5Oz),['availability'],-1
11474,MaxxPro Plus Screwdriver Set (6-Piece),"['number_of_pieces', 'individualset', 'color_family', 'drive_style', 'tools_product_type']",-1
11476,930-011,"['packaging_type', 'package_quantity']",-1
11478,Fox Run Marble Mortar Pestle Spice/Pepper/Salt/Nut/Herb Fine Grinder Server New by Fox Run,"['power', 'color']",-1
11479,Princess Mononoke,"['rated', 'studio', 'number_of_discs']",-1
11480,Intermec Serial Data Transfer Cable,['cable_type'],-1
11481,Miller Spectrum 625 X-Treme Plasma Cutter w/ 12ft Torch (907579) and Accessories,"['ships_to', 'location', 'free_shipping']",-1
11483,Womens soft Leather Bag Tote Ladies Handbags,['color'],-1
11484,Vishay Semiconductors VCNL4010-GS08,"['product_category', 'packaging', 'mounting_style', 'rohs']",-1
11487,"Edison ECNR50 Time-Delay Fuse; 50 Amp, 250 Volt AC/125 Volt DC",['case_quantity'],-1
11518,High Light Flip Flops,['heel_height'],-1
11490,Change in Your Pocket,['number_of_discs'],-1
11492,Folding Wheeled Shopping Trolley Grocery Bag Cart On Weels Black New UK SELLER,"['ships_to', 'colour', 'free_shipping']",-1
11493,"Breville Blend-Active Pro Blender, 300 W – Black","['producttypename', 'binding', 'color', 'productgroup']",-1
11494,The Whole Wide World Wall Mural,"['surface_finish', 'application_type', 'uv_resistant', 'texture', 'commercial_or_residential_certifications', 'washable', 'product_information']",-1
11495,Palm Springs,['larger_lot'],-1
11496,"Stainless Steel Shower Shelf, Polished","['sold_by', 'assembly_required']",-1
11497,"Details about NEW 21"" Black Pebble Grain Leather Duffle Tote Bag- Gym Carry On Mens Luggage",['color'],-1
11503,Trendy Black Chelsea Ankle Boot,"['color', 'width']",-1
11504,UHANS A6 3G Phablet,"['system', 'bluetooth', 'os', 'cpu', 'sim_card_type', 'feature']",-1
11505,HE-7 Slam Specialties Air Bag 400psi Dual 1/2' Ports,"['shipping', 'quantity']",-1
11508,No Easy Target: A Novel,"['x-ray', 'sold_by', 'publication_date', 'lending']",-1
11516,Free shipping 2015 children's clothing female child lotus leaf excellent design removable white retro denim outerwear finishing,"['clothing_length', 'pattern_type', 'season', 'decoration', 'collar', 'fabric_type']",-1
11491,Details about Jimmy Choo Black Tokyo Hi-top Sneakers Sz 6 1/2 (36 1/2),['width'],-1
