,Prod_ID,titles,keys,values,cluster_num
1525,ID_6337,Industrial Panel PC IP-65 Grade,"['brightness', 'processor_count']","['300cd/m2', '4']",a3
12791,ID_17623,"Lenovo LI2223s 21.5"" LED LCD Monitor - 16:9 - 7 ms - Refurbished","['response_time', 'backlight', 'color', 'http', 'brightness', 'color', 'screen_mode']","['7 ms', 'LED', '16.7 Million Colors', '//www.lenovo.com/us/en/', '250 Nit', 'Gray', 'Full HD']",a3
1524,ID_7050,AOC U3277PQU,"['brightness', 'contrast_ratio', 'productgroep']","['350 cd/m²', '1,000 : 1', 'Monitors']",a3
1527,ID_278,"LG Electronics 22MP57D-P, 21.5""","['brightness', 'response_time', 'touchscreen', 'backlight', 'contrast_ratio', 'panel_type', 'color']","['250cd/m2', '5ms', 'NO', 'LED', '1000:1', 'IPS', 'Black']",a3
5264,ID_17226,"Asus VG248QE 24"" 3D LCD Monitor Full HD 1ms DVI HDMI","['display_position_adjustments', 'aspect_ratio', 'vertical_viewing_angle', 'speaker', 'energy_star', 'color', 'brightness', 'vertical_viewing_angle', 'screen_type', 'voltage', 'panel_type', 'backlight']","['Height, pivot (rotation), swivel, tilt', 'Widescreen - 16:9', '170', 'Integrated', 'Yes', 'Black', '350 cd/m²', '160', 'LED-backlit LCD monitor / TFT active matrix', 'AC 120/230 V (50/60 Hz)', 'TN', 'LED backlight']",a3
12795,ID_668,"Discontinued - Refurbished DuraView 19"" Folding LCD Rack Console with 16 Port Multi-Platform KVM","['response_time', 'plug_type', 'brightness', 'power_source', 'color', 'contrast_ratio']","['5ms', 'M', '250 cd/m²', 'AC Adapter Included', 'Black', '1000:1']",a3
12800,ID_12501,"TERJUAL [CyberTech]LED&LCD Monitor 16""-27""(Samsung,LG,Viewsonic,Dell,AOC,dll)","['response_time', 'speaker', 'brightness']","['5 ms', 'No', '250 cd/m²']",a3
1522,ID_7324,"LG TV Signage SuperSign 55"" [LW540S]",['brightness'],['300cd/m2'],a3
16082,ID_1219,278C4QHSN 27in IPS-LED VGA/HDMI (16:9) 1920x1080 Tilt Stand,"['vga', 'response_time', 'platform', 'backlight', 'aspect_ratio', 'screen_mode', 'vertical_viewing_angle', 'brightness', 'product', 'vertical_viewing_angle', 'green_compliance_certificateauthority', 'hdmi', 'contrast_ratio']","['Yes', '7 ms', 'PC', 'LED', '16:9', 'Full HD', '178°', '250 cd/m²', 'LCD Monitor', '178°', 'WEEE', 'Yes', '1,000:1']",a3
16873,ID_1867,Acer America LED KN242HYL UM.QX2AA.001 23.8 inch Wide 4ms 100M:1 1920x1080 D-Sub/DVI/HDMI,"['widescreen', 'brightness']","['Yes', '250 cd/m2']",a3
1521,ID_18633,"D221, 22"" Wide 16:10 LCD TCO99 Hybrid, 1680x1050, 5ms, 700:1, 160°/160°, 300cd/m2, 0.282mm (559mm VIS), black, Tilt Stand, ,",['brightness'],['300cd/m2'],a3
1520,ID_1037,JANZ Matchvoll Terminal Casier set OS [JZ-Ti 310],['brightness'],['250 cd/m²'],a3
16874,ID_9578,AOC 22″ HD LED Monitor,"['widescreen', 'brightness', 'response_time', 'aspect_ratio', 'color']","['Yes', '200 cd/m2', '5ms', '16:9', 'Black']",a3
1519,ID_7064,"Inkpress Proofing Matte Paper 13 X 19, 100 Sheets",['brightness'],['95%'],a3
12792,ID_19141,"Planar PT1745P 17"" Edge LED LCD Touchscreen Monitor - 5:4 - 5 ms","['response_time', 'cabinet_color', 'brightness', 'contrast_ratio']","['5ms', 'Black', '250 cd/m2', '1000:1']",a3
50,ID_4651,Dome Z-Wave On/Off Plug-In Switch with Energy Monitoring Z-Wave Range Extender,"['accessory_type', 'indooroutdoor']","['Other', 'Indoor']",a4
2237,ID_12351,High Power Factor Ballast for 1 F34/40T12 Lamp (10-Pack),"['certifications_and_listings', 'accessory_type']","['1-UL Listed', 'Replacement Ballast']",a4
15925,ID_5134,Fleur-De-Lis Medallion (4-Pack),"['use', 'accessory_type', 'feature']","['Any', 'Other', 'No additional features']",a4
4464,ID_12144,Flush Bolt in Matte Antique Nickel,"['commercialresidential', 'certifications_and_listings', 'hardware_finish', 'accessory_type', 'securityansi_grade', 'interiorexterior']","['Residential', 'No Certifications or Listings', 'Nickel', 'Other', 'N/A', 'Interior']",a4
15926,ID_1304,Panel to Rail Clip,"['use', 'accessory_type', 'feature']","['Any', 'Other', 'No additional features']",a4
6779,ID_511,Booster Dog Seat,"['foldable', 'shape', 'assembly', 'storage', 'product_care', 'fill_material', 'outdoor_use', 'commercial_or_residential_certifications', 'product', 'pattern', 'number_of_items']","['Yes', 'Rectangle', 'No', 'Yes', 'Wipe clean', 'Polyester', 'No', 'Yes', '10+ in Stock', 'Solid', '1']",a4
8344,ID_17214,Princess Loveseat,"['leg_material', 'assembly', 'arm_type', 'storage', 'product_care', 'back_material', 'toss_pillows_included', 'product', 'arms', 'commercial_or_residential_certifications', 'seat', 'product', 'frame', 'arms_included']","['Wood', 'Yes', 'Track arms', 'No', 'Spot clean only', 'Fabric', 'No', 'Loveseat', 'With Arms', 'Yes', '2', '10+ in Stock', 'Wood', 'Yes']",a4
13008,ID_19172,Nikon Coolpix W100 Wi-Fi Shock & Waterproof Digital Camera (Blue) with 16GB Card + Case + Selfie Stick + Float Strap + Kit,"['screen_type', 'digital_zoom', 'monitor_resolution', 'flash', 'sensor_type', 'interface', 'nfc', 'storage', 'digital_zoom', 'wifi']","['LCD', '4x', '230,000 pixels', 'Built-in', 'CMOS', 'HDMI D (Micro) Micro-USB', 'Built-in', 'SD / SDHC / SDXC memory card', '3x', 'Built-in']",a4
1116,ID_9508,Canon 0113C001 PowerShot SX610 HS Digital Camera,"['battery', 'aspect_ratio', 'image_stabilization', 'hdmi', 'screen_type', 'digital_zoom', 'battery', 'touchscreen', 'image_formats', 'gps', 'color', 'digital_zoom']","['1', '16:9', 'Optical', 'Yes', 'LCD', '4x', 'Yes', 'No', 'JPEG', 'No', 'Red', '18x']",a4
16117,ID_12248,Samsung DV150F Review,"['viewfinder', 'shutter', 'extended_iso', 'sensor_size']","['LCD', '1/2000 - 8 seconds', '80 - 3200', '1/2.3 inch (6.2mm x 4.6mm)']",a4
16115,ID_17725,Nikon S52 Review,"['viewfinder', 'lens', 'extended_iso', 'sensor_size', 'max_aperture']","['LCD', '3.00x zoom (38-114mm eq.)', '100 - 3200', '1/2.5 inch (5.8mm x 4.3mm)', '3.3']",a4
16114,ID_4195,Panasonic ZS60 Review,"['viewfinder', 'extended_iso', 'sensor_size', 'max_aperture']","['EVF / LCD', '80 - 6400', '1/2.3 inch (6.2mm x 4.6mm)', '3.3']",a4
3922,ID_13866,Standard Bolt Mounted Pedestal for Roadside Mailbox in White,"['color', 'feature', 'accessory_type']","['White', 'Paintable/Stainable', 'Posts']",a4
49,ID_15087,Stens Governor Spring For Briggs & Stratton 692211,['accessory_type'],['Specialty Accessories'],a4
4487,ID_17889,1 in. x 6 ft. Polyethylene Pipe Insulation (174 lin. ft./Case),"['compatible_pipe_material', 'energy_star', 'accessory_type']","['Copper', 'No', 'Insulation']",a4
9412,ID_1246,Panasonic SC-XH105 5.1 Home Theater System - 300 W RMS - DVD Player Item # 455633,"['number_of_discs', 'image_formats', 'quantity', 'frequency_band', 'hdmi']","['1', 'JPEG', '1', 'FM', 'Yes']",a4
6075,ID_9546,Sharks from Mars,"['file_format', 'edition']","['ePub', 'First Edition']",a4
48,ID_8288,Lap Self-Seal 6 in. x 2 in. Pipe Insulation - 6 lin. ft./Carton,['accessory_type'],['Insulation'],a4
6074,ID_16092,The Solotäre Family Chronicles: Circle of Unity ~ Digital Edition,['file_format'],['ePub'],a4
12122,ID_13463,Shark Cordless Rechargeable Floor & Carpet Sweeper,"['productgroup', 'package_quantity', 'product', 'where_to_buy', 'binding', 'is_autographed', 'color']","['Home', '1', 'HOME', 'Amazon, Walmart', 'Kitchen', '0', 'Blue']",a4
12103,ID_984,Apple iPad Smart Case (Dark Gray) - MD454LL/A,"['productgroup', 'package_quantity', 'label', 'studio', 'product', 'is_adult_product', 'where_to_buy', 'binding', 'color', 'is_autographed']","['Personal Computer', '1', 'Apple Computer', 'Apple Computer', 'COMPUTER_COMPONENT', '0', 'Amazon, Walmart', 'Personal Computers', 'Dark Grey', '0']",a4
5908,ID_6042,Casio EX-FS10 Review,"['extended_iso', 'lens', 'viewfinder', 'sensor_size']","['100 - 1600', '3.00x zoom (38-114mm eq.)', 'LCD', '1/2.3 inch (6.2mm x 4.6mm)']",a4
10079,ID_12215,Paul Mitchell Tea Tree Special Conditioner Liter (33.8 Oz) with Pump,"['package_quantity', 'is_autographed']","['1', 'false']",a4
10074,ID_12878,Microsoft Windows 7 Pro SP1 x64 English 1 Pack DSP OEI DVD LCP (PC) (B00H09BOXQ | FQC-08289 | 885370720679),"['package_quantity', 'hardware_platform', 'department', 'operating_system', 'is_autographed']","['1', 'PC', 'Default Category', 'Windows 7', 'false']",a4
1335,ID_5736,Medelco 8 Cup Glass Stovetop Percolator - Buy from Laptop Shop,"['binding', 'is_autographed']","['Kitchen & Home', '0']",a4
5116,ID_8283,Canon PowerShot SX60 HS,"['digital_zoom', 'image_stabilization', 'wifi', 'waterproof', 'touchscreen', 'sensor_size']","['4x', 'Optical', 'Built-in', 'No', 'No', '1/2.3""']",a4
12076,ID_7081,"Square D 9007C54B2 Heavy Duty NEMA Limit Switch, Full Size, 1 Pole, Std. Rotary Head, CW + CCW Operation","['productgroup', 'package_quantity', 'binding', 'is_autographed']","['BISS', '1', 'Misc.', 'No']",a4
7649,ID_5852,Samsung HT-J4100 5.1 Home Theater System - 1000 W RMS - Blu-ray Disc Player,"['hdmi', 'frequency_band', 'number_of_discs', 'assembly', 'packaged_quantity', 'usb', 'remote_control', 'hdmi']","['1', 'FM', '1', 'No', '1', 'Yes', 'Yes', 'Yes']",a5
8456,ID_3949,Syma X5C New Version X5C - 1 Remote Control 6 Axis Gyro 4CH 2.4GHz Quadcopter with 360 Degree 3D Flip 200W HD Camera USB Charging Cable,"['level', 'age', 'remote_control']","['Beginner Level', 'Above 14 years old', '2.4GHz Wireless Remote Control']",a5
8459,ID_8325,JJRC H26D 2.4G 4CH RC Quadcopter,"['level', 'type', 'age', 'remote_control', 'color']","['Intermediate Level', 'Quadcopter', 'Above 14 years old', '2.4GHz Wireless Remote Control', 'White']",a5
7639,ID_13683,"LG 24LH4830-PU 24"" Smart LED TV (2017 Model) w/ Extended Warranty Bundle","['hdcp', 'remote_control']","['Yes', 'Yes']",a5
6046,ID_9719,FuriBee F36 Mini 2.4GHz 4CH 6 Axis Gyro RC Quadcopter with Headless Mode / Speed Switch XLNE9KAYS02,"['feature', 'level', 'size', 'remote_control']","['Radio Control', 'Beginner Level', 'Mini', '2.4GHz Wireless Remote Control']",a5
5813,ID_13631,"Haier 10,000 BTU 11.2 CEER Fixed Chassis Air Conditioner Item # 786749","['environmental_certification', 'remote_control', 'color']","['ENERGY STAR', 'yes', 'white']",a5
8685,ID_6179,"Juggle Bubbles Activity Kit, Bubble Maker, Bubble Game, SEEN ON TV","['manufacturer_recommended_age', 'assembly', 'battery', 'remote_control']","['5 years and up', 'No', 'No', 'No']",a5
8688,ID_6015,Lego Lights DC Super Heroes Batman Keylight,"['manufacturer_recommended_age', 'battery', 'assembly', 'remote_control']","['3 years and up', 'Yes', 'No', 'No']",a5
8691,ID_3011,Hasbro Gaming Monopoly Empire Board Game,"['manufacturer_recommended_age', 'remote_control', 'assembly']","['8 years and up', 'No', 'Yes']",a5
7657,ID_3207,Supersonic SC-807 Micro Hi-Fi System - iPod Supported Item # 3460734,"['headphone_jack', 'number_of_discs', 'battery', 'power_source', 'port', 'remote_control', 'display']","['yes', '1', 'No', 'AC adapter', '1 USB', 'Yes', 'LCD']",a5
16664,ID_11579,"1,500-Watt Small Room Wall Heater","['wattage', 'accessories', 'certifications_and_listings', 'indooroutdoor', 'automatic_shutoff', 'color', 'remote_control', 'fuel_type', 'color']","['1500.000', 'No', 'ETL Listed', 'Indoor', 'Yes', 'Whites', 'No', 'Electric', 'White']",a5
8693,ID_7300,Sylvanian Families Brick Oven Bakery Set,"['manufacturer_recommended_age', 'remote_control', 'battery', 'assembly']","['3 years and up', 'No', 'No', 'No']",a5
15050,ID_10935,The Walking dead action Figure zombie Figures head,"['theme', 'age', 'remote_control', 'item_type']","['Movie & TV', '> 3 years old', 'No', 'Model']",a5
14794,ID_16673,USA DHL Free Ship MXQ Pro Android Digital TV Streaming Box Amlogic S905X Quad Core 1G/8G Android 5.1 HDMI 2.0 WIFI 4K Smart Media Player,"['system', 'quantity', 'remote_control']","['Android 5.1', '1 Piece', 'Included']",a5
13016,ID_2532,LG Electronics PW800 LED Projector,"['screen_type', 'remote_control', '3d_ready']","['DLP (1 chip);', 'Yes', 'No']",a5
13012,ID_11202,"BOSS AUDIO BV9986BI Single-DIN 7 inch Motorized Touchscreen DVD Player, Receiver, Bluetooth, Detachable Front Panel, Wireless Remote Item # 500005","['screen_type', 'number_of_discs', 'touchscreen', 'channels', 'card_slot', 'port', 'remote_control', 'bluetooth']","['LCD', '1', 'yes', '4', 'SD', '1 USB', 'yes', 'Yes']",a5
12835,ID_4225,Voyage 40 in. Indoor/Outdoor Oil Rubbed Bronze Ceiling Fan with Khaki Fabric Blades,"['reversible_two-sided_blades', 'housing_color_family', 'certifications_and_listings', 'family', 'dampwet_rating', 'diaphragm_blades', 'bulb_base', 'color', 'feature', 'pull_chain', 'commercial_residential', 'color', 'indooroutdoor', 'remote_control', 'energy_star', 'timer']","['No', 'Bronze', '1-UL Listed', 'Bronze Indoor/Outdoor', 'Damp', '4', 'Not Included', 'Bronze', 'Reversible Motor', 'Yes', 'Residential', 'Oil Rubbed Bronze', 'Indoor/Outdoor', 'No', 'No', 'No']",a5
12834,ID_3779,Quality Pro Deluxe 52 in. Roman Bronze Indoor Ceiling Fan,"['reversible_two-sided_blades', 'dimmable', 'housing_color_family', 'certifications_and_listings', 'family', 'dampwet_rating', 'diaphragm_blades', 'bulb_base', 'bulb_base', 'color', 'bulb_base', 'bulb_base', 'pull_chain', 'commercial_residential', 'mount', 'indooroutdoor', 'remote_control', 'speed', 'color', 'timer']","['Yes', 'Yes', 'Bronze', '1-UL Listed', 'Bronze Indoor/Outdoor', 'Dry', '5', 'Incandescent', 'Integrated', 'Bronze', 'Incandescent', 'Candelabra', 'Yes', 'Residential', 'Standard', 'Indoor', 'No', '3', 'Bronze', 'No']",a5
12833,ID_7609,Designer Max II 44 in. Brushed Steel Silver Ceiling Fan,"['reversible_two-sided_blades', 'certifications_and_listings', 'indooroutdoor', 'timer', 'dampwet_rating', 'commercial_residential', 'bulb_base', 'color', 'feature', 'pull_chain', 'diaphragm_blades', 'mount', 'color', 'energy_star', 'remote_control']","['No', 'ETL Listed', 'Indoor', 'No', 'Dry', 'Commercial / Residential', 'Not Included', 'Steel', 'Reversible Motor', 'Yes', '5', 'Standard', 'Brushed Steel', 'No', 'No']",a5
12832,ID_11703,Brookline 52 in. Indoor Antique Brass Ceiling Fan with Light,"['reversible_two-sided_blades', 'certifications_and_listings', 'bulb_base', 'timer', 'dampwet_rating', 'diaphragm_blades', 'bulb_base', 'bulb_base', 'color', 'feature', 'indooroutdoor', 'pull_chain', 'commercial_residential', 'mount', 'speed', 'remote_control']","['Yes', 'ETL Listed', 'Incandescent', 'No', 'Dry', '5', 'Incandescent', 'Bowl', 'Brass', 'Reversible Blades,Reversible Motor', 'Indoor', 'Yes', 'Residential', 'Angled,Low Ceiling Mounting,Standard', '3', 'No']",a5
12831,ID_17558,Highbury 52 in. Indoor New Bronze Ceiling Fan with Light Kit,"['reversible_two-sided_blades', 'bulb_base', 'timer', 'indooroutdoor', 'commercial_residential', 'bulb_base', 'color', 'dampwet_rating', 'feature', 'pull_chain', 'diaphragm_blades', 'mount', 'family', 'housing_color_family', 'speed', 'remote_control']","['Yes', 'CFL', 'No', 'Indoor', 'Residential', 'Shades', 'Bronze', 'Dry', 'Reversible Blades,Reversible Motor', 'Yes', '5', 'Angled,Low Ceiling Mounting,Standard', 'Bronze Indoor/Outdoor', 'Bronze', '3', 'Yes']",a5
12691,ID_7463,Pyle PLDNV695B,"['remote_control', 'touchscreen']","['Yes', 'Yes']",a5
8692,ID_249,Imploding Kittens: This is the First Expansion of Exploding Kittens,"['manufacturer_recommended_age', 'remote_control', 'battery', 'assembly']","['7 years and up', 'No', 'No', 'No']",a5
12690,ID_18847,Funko Pop Star Wars Darth Vader Yoda Vinyl Bobble-head Figure PVC Model Action Figure Vinyl Bobble-head Black Toy,"['remote_control', 'theme', 'color', 'quantity']","['No', 'Movie & TV', 'Multicolor', '1 Piece']",a5
3992,ID_581,Pioneer VSXLX301 1190W 7.2-Ch. Network-Ready 4K Ultra HD and 3D Pass-Through A/V Home Theater Receiver Black,"['color', 'headphone_jack', 'remote_control', 'hdmi', 'color']","['Black', 'Yes', 'Yes', '2', 'Black']",a5
12688,ID_18464,24x zoom Samsung HZ25W announced,"['remote_control', 'aspect_ratio', 'image_stabilization', 'pictbridge_compliant']","['No', '4:3, 16:9', 'Yes', 'Yes']",a5
12687,ID_9744,American DJ Micro Wash RGBW,['remote_control'],['No'],a5
12686,ID_9673,User manual Hasselblad H4D-40 Black Limited Edition Medium H-70380534-B,['remote_control'],['Yes'],a5
12685,ID_3182,TKKJ H102 Brushed RC Racing Boat RTR 26 - 28km/h Fast Speed / 2.4GHz 4CH LCD Screen Transmitter / Self-righting Function,['remote_control'],['2.4GHz Wireless Remote Control'],a5
12684,ID_4920,Optoma Technology W351 3800 Lumen WXGA DLP 3D Multimedia Projector,['remote_control'],['Yes'],a5
12683,ID_2903,SKY88SHOP Radio Remote Control Transformer Vehicle Car Deform Robot [TT667] (Merchant),['remote_control'],['2.4GHz Wireless Remote Control'],a5
12682,ID_424,Speakers TRACER 2.1 Hi-Cube TRG-495,['remote_control'],['No'],a5
12681,ID_9979,Sony SA D10 4.1 Channel Multimedia Speaker,['remote_control'],['Yes'],a5
9580,ID_14931,"62"" Gilera 3 Blade Ceiling Fan","['number_of_lights', 'commercial_or_residential_certifications', 'dimmable', 'remote_control', 'speed']","['1', 'Yes (UL Listed)', 'No', 'No', '3']",a5
12689,ID_3555,Winix 9000 PlasmaWave HEPA Air Purifier with Plasma Hydroxyls,"['remote_control', 'housing_material', 'energy_star', 'color']","['Yes', 'Plastic', 'Yes', 'Blue']",a5
