,title,specs
29,GE JB250RKSS 30 Inch Electric Range,"{'clock': 'Yes', 'self-cleaning': 'Yes', 'sabbath_mode': 'Yes', 'induction': 'No', 'amps': '40', 'convection': 'No', 'fuel_type': 'Electric', 'timer': 'Yes', 'ada_compliant': 'No', 'color': 'Stainless Steel'}"
30,Owner JH-62 Jig Head D. AX ST-46 Treble Hook 4 grams Size 6 (0651) 4953873180651,{'size': '6'}
31,Best Fitness Power Rack with 300LB Olympic Grip Weight Set - (BFPR100WS),{'assembly_details': 'assembly required'}
32,Melissa & Doug Bead Bouquet Deluxe Set,"{'colour': 'Multi', 'batteries_included': 'false'}"
33,Samsung Gear S2,"{'contained_battery_type': 'Lithium Ion', 'video_game_platform': 'PC'}"
34,SQD 9070T350D15,{'terminal_type': 'Screw'}
35,2017 Kia Niro EX(208) 232-1062,"{'transmission': 'Automatic 6-Speed', 'odometer': '10 mi.'}"
36,"Universal Office Products Business Card Holder, Capacity 50 3 1/2 x 2 Cards, Black","{'post-consumer_recycled_content_percent': '30%', 'colors': 'Black'}"
37,Bios 57065 Living Digital Heating Pad with Moist Technology,{'category': '- 0'}
38,Evolution Navy 5 ft. x 7 ft. 9 in. Area Rug,"{'construction': 'Hand-made', 'backing_material': 'Cotton', 'cleaning_instructions': 'Professionally clean', 'rug_weave': 'Tufted', 'rug_material': 'Wool & Wool Blend', 'approximate_rug_size': '5 X 8', 'color_family': 'Blue', 'colorfinish': 'Navy', 'features': 'No Additional Features', 'flooring_product_type': 'Area Rug'}"
39,Intel / Altera EP4CE55F23C8N,"{'rohs': 'Details', 'packaging': 'Tray', 'mounting_style': 'SMD/SMT'}"
40,"Item # 9001KS11K1E36, 30mm Selector Switch, Key Operated - Maintained","{'knob_type': 'Key Operated Knob', 'csa_file': 'LR24590 Class 3211-03', 'lens_color': 'not applicable', 'knob_color': 'Key', 'operator_type': 'Non-Illuminated', 'number_of_operators': '1', 'light_module_supply_voltage': 'not applicable', 'light_module_type': 'not applicable', 'operator_action': 'Maintained', 'number_of_positions': '2', 'lens_type': 'not applicable'}"
41,Tamron SP 24-70mm Di VC USD Nikon Mount (Model A007N),"{'focus_type': 'Ultrasonic', 'minimum_aperture': 'ƒ/22', 'photo_filter_thread_size': '82 mm', 'model_year': '2014', 'weather_resistance': 'Yes', 'lens_design': 'Zoom', 'compatible_mountings': 'Nikon F (FX)', 'maximum_aperture': 'ƒ/2.8', 'maximum_format_size': '35mm full frame', 'lens_type': 'Zoom lens', 'color': 'Black', 'number_of_diaphragm_blades': '9', 'optical_zoom': '5x'}"
42,Zebra technologies Zebra Direct Thermal Printer - Q3D-LUGA0000-00,"{'print_color': 'Monochrome', 'wi-fi': 'Yes', 'usb': 'Yes', 'product_type': 'Direct Thermal Printer', 'recommended_use': 'Label Print', 'ethernet': 'Yes'}"
43,"Alera Electric Height-Adjustable Table Cross Bar Kit for 42"" to 53"" Worksurface, Black","{'total_recycled_content_percent': '10%', 'post-consumer_recycled_content_percent': '10%', 'color': 'Black'}"
44,Rectangular: 1 Ft. 6-Inch x 2 Ft. 4-Inch,"{'resources': 'Rug Buying Guide', 'type': 'Indoor/Outdoor Rugs', 'usage': 'Exterior Wet', 'construction': 'Machine Made'}"
45,PEUGEOT 308,"{'tyre_size_rear': '205/55 R16', 'space_saver': 'True', 'alloys': 'True', 'minimum_kerbweight': '1080', 'length': '4253', 'tyre_size_front': '205/55 R16', 'gross_vehicle_weight': '1720', 'fuel_tank_capacity_litres': '53', 'turning_circle-kerb_to_kerb': '10.4', 'no_of_seats': '5', 'max_towing_weight-braked': '1200', 'height': '1457', 'tyre_size_spare': 'SPACE SAVER', 'max_loading_weight': '640', 'wheelbase': '2620', 'width': '1804'}"
46,36 in. x 80 in. Craftsman 3 Lite Arch Stained Mahogany Wood Prehung Front Door,"{'finish_type': 'Stained', 'energy_star_qualified': 'Not Qualified', 'hinge_finish': 'Bronze', 'door_configuration': 'Single Door', 'jamb_size_in': ""4-9/16'"", 'glass_type': '3 Lite', 'door_type': 'Exterior Prehung', 'included': 'No Additional Items Included', 'panel_type': '3 Panel', 'color_family': 'Chestnut', 'colorfinish': 'Chestnut', 'door_handing': 'Left-Hand/Inswing', 'door_style': 'Craftsman', 'suggested_application': 'Front', 'bore_type': 'Double Bore'}"
47,Boys Skinny Oxford Dress Pants,"{'overall': '☆☆☆☆☆ ☆☆☆☆☆ 4.0', 'value': '5.0', 'quality': '4.0'}"
48,5th Element Lynx LX Womens Inline Skates,"{'model_year': '2016', 'frame_material': 'Aluminum'}"
49,5th Element Lynx LX Womens Inline Skates,"{'model_year': '2016', 'frame_material': 'Aluminum'}"
50,5th Element Lynx LX Womens Inline Skates,"{'model_year': '2016', 'frame_material': 'Aluminum'}"
51,"Targus® Compact Optical Mouse, black/gray Item # 115119","{'wiredwireless': 'Wired', 'connector_type': 'USB', 'environmental_certification': 'RoHS', 'platform': 'Mac; Windows', 'color': 'black/gray'}"
52,0.136TrueSize Carbide Reamer Straight Flute,"{'cutting_edge_material': 'Carbide', 'no_of_flutes': '4', 'measurement_type': 'Wire Gage', 'flute_type': 'Straight Flute'}"
53,Modway Furniture Cavalier Mid Back Office Chair in Brown,"{'finish': 'Brown', 'assembly': 'Minor Assembly Required', 'usage': 'Interior Dry'}"
54,"Swan Retro Digital Microwave, 20 Litre, 800 Watt, Cream",{'colour': 'Pink Verified Purchase'}
55,"Teacher Created Resources Graphic Organizers, Grades K-3 Education Printed Book",{'product_type': 'Printed Book'}
56,V7 Black Ink Cartridge For HP DeskJet PSC 1240 Fax Machines,"{'printing_color': 'Black', 'consumable_type': 'Print cartridge', 'printing_technology': 'Ink-jet', 'color': 'Black'}"
57,DG2 by Diane Gilman Classic Denim Boot-Cut Jean,"{'length': 'Full', 'care': 'Machine wash, hang dry'}"
58,Vineyard Patio Sofa with Denim Cushions and Terrace Lane Lumbar Pillows -- CUSTOM,"{'fill_material': 'Foam', 'frame_primary_finish': 'Brown', 'returnable': 'Non-Returnable', 'assembly_required': 'No', 'fabric_color_family': 'Blue', 'cushion_style': 'Welted', 'frame_material': 'Aluminum', 'patio_furniture_features': 'UV protected,Weather resistant', 'care_instructions': 'Wash with mild soap and water and air dry', 'fabric_type': 'Acrylic'}"
59,Custom Made Mens Three-piece Bridegroom Wedding Tuxedo Suit Pants Vest Tie Set (L),{'color': 'White'}
60,Approaching God: Accepting the Invitation to Stand in the Presence of God,"{'x-ray': 'Not Enabled', 'print_length': '305 pages', 'sold_by': 'Simon and Schuster Digital Sales Inc', 'lending': 'Not Enabled'}"
61,Oceanaut Men's Scorpion Watch,"{'crown': 'Push/pull', 'clasp': 'Buckle', 'water_resistance': '10 ATM/100 meters/330 feet', 'crystal': 'Mineral', 'movement': 'Quartz', 'case_thickness': '12', 'case': 'Stainless steel'}"
62,Promise Pegasus2 R6 DAS Array - 6 x HDD Supported - 6 x HDD Installed - 12 TB Installed HDD Capacity,"{'number_of_total_expansion_bays': '6', 'platform_supported': 'Mac', 'controller_type': 'Serial ATA', 'drive_interface': 'Serial ATA'}"
63,Sportsman's Outdoor Products Horn Hunter Full Curl System,"{'overall': '★★★★★ ★★★★★ 5.0', 'quality': '5.0', 'value': '5.0', 'comfort': '5.0'}"
64,AC Cobra Ace AC Ace Brsitol Roadster 289 V8 Cobra,"{'body': 'Convertible', 'colour': 'Red', 'engine_size': '4.7', 'transmission': 'Manual', 'fuel': 'Petrol'}"
65,Henrybuilt Wood Table 2,"{'color_finish': 'Natural', 'price': 'Get Price', 'top_material': 'Wood', 'shape': 'Rectangular (Also available in Square)'}"
66,Gigabyte GV-N1070G1 ROCK-8GD GeForce GTX Graphic Cards,{'graphics_coprocessor': 'geforce gtx'}
67,1900 Circa 1.97 in. Old Iron Ring Pull with Backplate,"{'finish': 'Old Iron', 'hardware_finish_family': 'Pewter', 'builders_hardware_product_type': 'Ring Pull', 'cabinet_pull_type': 'Ring Pull'}"
68,Wisden Cricketers' Almanack Hardback,{'format': 'Hardback'}
69,एस्टन मार्टिन डीबी9,"{'drive_train': 'Number of Gears', 'no_of_doors': '2', 'power': 'Torque', 'seating_capacity': '4'}"
70,Gladiator Express 3-Person Towable Tube Package,{'cover': 'Full'}
71,Pro-Series 14 in. White LED Under Cabinet Light with Dimming Capability,"{'fixture_colorfinish': 'White', 'certifications_and_listings': '1-UL Listed,ETL Listed', 'actual_color_temperature_k': '3000', 'connection_type': 'Hardwired', 'color_temperature': 'Warm White', 'fixture_material': 'Aluminum', 'light_bulb_type_included': 'Integrated LED', 'color_rendering_index': '80', 'colorfinish_family': 'White'}"
72,DIP D10 Silver/Machined 18x8.5 6-132 30mm 78.3mm,"{'availability': 'Call us for availability!', 'quantity': '1', 'shipping': 'Calculated in Cart'}"
73,WubbaNub Okey Dokey Dino Pacifier- Mary Meyer Limited Edition,"{'size': 'No', 'care_instructions': 'No'}"
74,Made by Dad: 67 Blueprints for Making Cool Stuff,{'paperback': '336 pages'}
75,Made by Dad: 67 Blueprints for Making Cool Stuff,{'paperback': '336 pages'}
76,Made by Dad: 67 Blueprints for Making Cool Stuff,{'paperback': '336 pages'}
77,Lacoste Large Beach Towel 36 x 72 - Rayures,"{'stain_resistant': 'No', 'height': 'in.', 'water_resistant': 'No'}"
78,Yosemite Home Decor Stainless Steel Undermount Double Bowl Sink,"{'collection': 'Stainless Steel', 'finish': 'Stainless Steel', 'usage': 'Interior Dry'}"
79,Details about Citizen Eco-Drive Men's JY0000-53E Skyhawk GMT Atomic Chronograph Watch,"{'display': 'Analog', 'case_material': 'Stainless Steel', 'case_color': 'Silver', 'strap_color': 'Silver', 'features': 'Chronograph', 'case_finish': 'Brushed', 'case_size': '46mm', 'watch_shape': 'Round', 'band_material': 'Stainless Steel', 'face_color': 'Black', 'band_type': 'Bracelet/Link Band', 'band_color': 'Silver', 'strap_material': 'Stainless Steel'}"
80,Carling Tap,{'category': 'Food & Drink'}
81,Wickes Beach Pebbles Major Bag,{'colour': 'Natural'}
82,Kai to the Rescue!,"{'grade_level': 'Preschool - Kindergarten', 'hardcover': '40 pages', 'age_range': '3 - 5 years'}"
83,The Fifth Label Lo-Stress Denim Short Done and Dusted,"{'size': 'Choose an option', 'colour': 'Choose an option'}"
84,Mattel Cars 2 Megacoches,{'colour': 'Red'}
85,"2013 BMW 3 Series 328i XDRIVE,AWD,NAVIGATION,REARVIEW CAMERA,REVERSE SENSORS,LOADED - Mississauga","{'status': 'Stock Number', 'transmission': 'Doors', 'automatic': '4'}"
86,Blue Zephyr Pencil 12 in. x 12 in. x 8 mm Glass Mosaic Wall Tile,"{'tile_finish': 'Glossy', 'tile_material': 'Glass', 'product_thickness_mm': '8', 'number_of_tiles_per_case': '10', 'mosaic_sub_unit_width_in': 'Random', 'commercial_residential': 'Commercial / Residential', 'mosaic_sub_unit_length_in': 'Random', 'suggested_grout_line_size': '1/8', 'style_type': 'Contemporary', 'color_family': 'Blues', 'tile_features': 'No Additional Features', 'colorfinish': 'Blue', 'approximate_tile_size': '12x12', 'flooring_product_type': 'Mosaic Tile'}"
87,Blue Zephyr Pencil 12 in. x 12 in. x 8 mm Glass Mosaic Wall Tile,"{'tile_finish': 'Glossy', 'tile_material': 'Glass', 'product_thickness_mm': '8', 'number_of_tiles_per_case': '10', 'mosaic_sub_unit_width_in': 'Random', 'commercial_residential': 'Commercial / Residential', 'mosaic_sub_unit_length_in': 'Random', 'suggested_grout_line_size': '1/8', 'style_type': 'Contemporary', 'color_family': 'Blues', 'tile_features': 'No Additional Features', 'colorfinish': 'Blue', 'approximate_tile_size': '12x12', 'flooring_product_type': 'Mosaic Tile'}"
88,FREE 2-Day Standard Ground Shipping,{'number_of_channels': '2'}
89,0.02 - 55.5 GPH Tygothane 65 PSI Peristaltic Pump 1/2' Hose Barb,"{'security': 'Programmable 4-digit password.', 'display': '3 color VGA backlit LCD, UV resistant.'}"
90,0.02 - 55.5 GPH Tygothane 65 PSI Peristaltic Pump 1/2' Hose Barb,"{'security': 'Programmable 4-digit password.', 'display': '3 color VGA backlit LCD, UV resistant.'}"
91,Polished Brass Post Mount Mailbox with Lewiston Post System,"{'features': 'Outgoing Mail Indicator', 'us_postmaster_general_approved': 'No', 'assembly_required': 'No', 'security': 'Non-Locking', 'included': 'Mailbox', 'mount_type': 'Post Mount', 'hardware_finish_family': 'White'}"
92,Polished Brass Post Mount Mailbox with Lewiston Post System,"{'features': 'Outgoing Mail Indicator', 'us_postmaster_general_approved': 'No', 'assembly_required': 'No', 'security': 'Non-Locking', 'included': 'Mailbox', 'mount_type': 'Post Mount', 'hardware_finish_family': 'White'}"
93,Secrets of the Baby Whisperer for Toddlers Paperback,"{'pages': '352 pages', 'format': 'Paperback'}"
94,2009 AUDI S3 8P Hatchback 3dr Man 6sp quattro 2.0T [MY09] with 46317kms. Located in Brisbane,"{'rim_size_front': '18x7.5', 'tyre_rear_size': '225/40 R18', 'fuel_type': 'Petrol - Premium ULP', 'transmission': 'Manual', 'fuel_consumption': '8.5/100km', 'tyre_front_size': '225/40 R18', 'fuel_extra_urban': '6.6', 'alarm': 'Armrest - Front Centre (Shared)', 'cylinders': '4', 'fuel_delivery': 'Direct Injection', 'release_date': '0/2009', 'central_locking-remotekeyless': 'Chrome Exhaust Tip(s)', 'fuel_combined': '8.5', 'rim_size_rear': '18x7.5', 'height': '1421', 'seats-2nd_row_split_fold': 'Spare Wheel - Space Saver/Temporary', 'fuel_capacity': '55', 'multi-function_steering_wheel': 'On-board Computer', 'engine': '2.0L Turbo Intercooled', 'width': '1765', 'engine_immobiliser': 'Floor Mats', 'ron': '98'}"
95,Dunlop Signature II TL Radial - 235/65R16 103T,{'construction': 'Radial'}
96,Dunlop Signature II TL Radial - 235/65R16 103T,{'construction': 'Radial'}
97,2017 Nissan Pathfinder at Santa Maria Nissan,"{'doors': '4-door', 'fuel_type': 'Gas', 'engine': '3.5L V6', 'cylinders': '6-Cylinders', 'transmission': 'CVT (Continuously Variable)', 'mileage': '0 mi'}"
98,2017 Nissan Pathfinder at Santa Maria Nissan,"{'doors': '4-door', 'fuel_type': 'Gas', 'engine': '3.5L V6', 'cylinders': '6-Cylinders', 'transmission': 'CVT (Continuously Variable)', 'mileage': '0 mi'}"
99,2017 Nissan Pathfinder at Santa Maria Nissan,"{'doors': '4-door', 'fuel_type': 'Gas', 'engine': '3.5L V6', 'cylinders': '6-Cylinders', 'transmission': 'CVT (Continuously Variable)', 'mileage': '0 mi'}"
100,TecTake Heavy Duty PRO-USE Moulded Mechanics Creeper Crawler Board 6 wheels & Headrest,{'productgroup': 'Automotive Parts and Accessories'}
101,GIRLS HEATTECH Knitted Long Tights,"{'care': 'Machine Wash, Warm'}"
102,S-HS-8SPB,"{'wheel_diameter': '8', 'wheel_colorfinish': 'Blue Poly on Gray Center', 'wheel_type': 'Ergo-Glide', 'caster_colorfinish': 'Crimson Red', 'low_temp_range_f': '-50', 'mounting_bolt': '0.5', 'relative_cost': 'Medium', 'relative_capacity': 'Medium', 'cushioning_resilience': 'High', 'mounting_plate': '4 1/2 x 6 1/2', 'wheel_face': '2', 'floor_protection': 'Very Good', 'bearing_type': 'Prec. BB', 'impact_resistance': 'High', 'abrasion_resistance': 'High', 'caster_rig_type': 'Forged Steel', 'rolling_ease': 'High', 'high_temp_range_f': '200', 'type': 'Ergo-Glide', 'chemical_resistant': 'Medium', 'quiet_operations': 'Yes', 'moisture_resistance': 'Medium'}"
103,"Durham MTM304836-3K295 Mobile Heavy Duty Machine Tables - 2 Shelves, 30X48X36","{'shelves': '2', 'colors': 'Gray'}"
104,"Durham MTM304836-3K295 Mobile Heavy Duty Machine Tables - 2 Shelves, 30X48X36","{'shelves': '2', 'colors': 'Gray'}"
105,"Microsoft Wireless Desktop 2000 Keyboard and Mouse Set, UK Layout - Black","{'date_first_available': '1 Jan. 2010', 'battery_type': 'Alkaline', 'power_source': 'Battery', 'color': 'Black'}"
106,3-Piece Little Jacket Set,"{'age_of_oldest_child': '7-9', 'number_of_kids': '3', 'age_of_youngest_child': '1-2'}"
107,Intermatic HB11K 15-Amp 24-Hour Heavy Duty LED/CFL 1 HP 1800W Outdoor Timer,{'availability': 'Out of stock'}
108,Tri-Cities Nissan,"{'trim': 'S', 'compression_ratio': '9.70 to 1', 'model': 'Fusion', 'front_legroom': '1,074mm (42.3"")', 'year': '2007', 'turning_radius': ""5.9m (19.4')"", 'rear_legroom': '940mm (37.0"")', 'doors': '4 door', 'fuel_type': 'regular unleaded', 'front_hiproom': '1,372mm (54.0"")', 'bodystyle': 'Sedan', 'rear_shoulder_room': '1,435mm (56.5"")', 'drive_line': 'Front-wheel Drive'}"
109,Why Don't Students Like School?: A Cognitive Scientist Answers Questions About How the Mind Works and What It Means for the Classroom,{'paperback': '240 pages'}
110,British & Irish Lions Rugby Kids Replica Pro Jersey,"{'colour': 'Red', 'pack_size': 'Single'}"
111,"3M 88808 3X24"" Non-Woven Belt","{'ships_to': 'US,', 'seller': 'traverstoolco (6,037) 99.5%,', 'location': 'Duncan, South Carolina,', 'brand': '3M,'}"
112,Zebra GK42-202210-000 GK420d Desktop Thermal Printer,{'print_technology': 'Direct Thermal'}
113,"O'Cedar Commercial 96937 MaxiDust Loop-End Mop, 36"", Green (Pack of 12)","{'product_group': 'BISS', 'package_quantity': '1', 'number_of_items': '12', 'where_to_buy': 'Amazon, Wayfair', 'binding': 'Misc.'}"
114,"O'Cedar Commercial 96937 MaxiDust Loop-End Mop, 36"", Green (Pack of 12)","{'product_group': 'BISS', 'package_quantity': '1', 'number_of_items': '12', 'where_to_buy': 'Amazon, Wayfair', 'binding': 'Misc.'}"
115,1-1/2 in. x 5 in. Galvanized Steel Nipple,{'connectivity': 'Push to Connect'}
116,PD41BJ1000002020 - Intermec PD41 Bar code Printer,"{'maximum_print_resolution': '203 dpi', 'product_type': 'Direct Thermal/Thermal Transfer Printer', 'recommended_use': 'Label Print Physical Characteristics', 'print_color': 'Monochrome'}"
117,Final Fantasy X-2 Sony Ps2 Complete Pack Square Enix Very Good Condition,"{'platform': 'Sony PlayStation 2', 'region_code': 'NTSC-U/C (US/Canada)'}"
118,Final Fantasy X-2 Sony Ps2 Complete Pack Square Enix Very Good Condition,"{'platform': 'Sony PlayStation 2', 'region_code': 'NTSC-U/C (US/Canada)'}"
119,Watershed II Luxury Motor Yacht Specification,"{'deck_material': '-', 'model': 'Custom', 'year': '2012', 'fuel_capacity': '-', 'class': '-', 'range': '-', 'cabins_total': '-', 'propulsion': '-', 'superstructure': '-', 'hull_configuration': '-', 'type': 'Motor Yacht', 'guests': '6'}"
120,Manchester 16 in. x 11-1/2 in. x 9 in. Newspaper Holder,"{'features': 'Decorative', 'color': 'Bronze'}"
121,Manchester 16 in. x 11-1/2 in. x 9 in. Newspaper Holder,"{'features': 'Decorative', 'color': 'Bronze'}"
122,Jacket,{'measurements': 'Length 28.08 inches'}
123,John Deere D105 17.5-HP Automatic 42-in Riding Lawn Mower with Mulching Capability,"{'cruise_control': 'No', 'number_of_blades': '2'}"
124,PTFE(Teflon) Tube,{'payment_condition': 'T/T'}
125,Ghostbusters Collectables,{'format': 'Paperback'}
126,Kartique 3 Inch Magnifying Glass In White Bar Shape Handle-3mgfyaet,{'color': 'Gold'}
127,Nikon Coolpix L23 Black,{'productgroep': 'Photo cameras'}
128,Lanier Type R1 Black Toner Cartridge,"{'product_type': 'Toner Cartridge', 'print_color': 'Black', 'print_technology': 'Laser'}"
129,Webster ReClaim Heavy-Duty Recyled Can Liners - Medium Size - 33 gal - 33' Width x 39' Length - 1.65 mil (42 Micron) Thickness - Black - Plastic - 100/Carton - Can Item # 768907,"{'assembly_required': 'No', 'quantity': '100', 'eco-conscious': 'Recycled Content', 'postconsumer_recycled_content': '10%', 'color': 'black'}"
130,Webster ReClaim Heavy-Duty Recyled Can Liners - Medium Size - 33 gal - 33' Width x 39' Length - 1.65 mil (42 Micron) Thickness - Black - Plastic - 100/Carton - Can Item # 768907,"{'assembly_required': 'No', 'quantity': '100', 'eco-conscious': 'Recycled Content', 'postconsumer_recycled_content': '10%', 'color': 'black'}"
131,Webster ReClaim Heavy-Duty Recyled Can Liners - Medium Size - 33 gal - 33' Width x 39' Length - 1.65 mil (42 Micron) Thickness - Black - Plastic - 100/Carton - Can Item # 768907,"{'assembly_required': 'No', 'quantity': '100', 'eco-conscious': 'Recycled Content', 'postconsumer_recycled_content': '10%', 'color': 'black'}"
132,"2008 Mini Cooper - $9,999","{'views': '1', 'drive_type': 'Front wheel drive', 'exterior': 'Red', 'doors': '2', 'status': 'Verified', 'transmission': 'Auto', 'fuel': 'Gas'}"
133,ProLine Brass Gas Ball Valve - 110-125,{'package_quantity': '1'}
134,"2-Tone Mug, 12 Oz.",{'packaging_type': 'box'}
135,"2-Tone Mug, 12 Oz.",{'packaging_type': 'box'}
136,"GE Lighting Control On/Off Switch, Z-Wave, In-Wall, Works with Amazon Alexa, 12722","{'package_quantity': '1', 'product_type_name': 'HOME_LIGHTING_ACCESSORY', 'binding': 'Tools & Home Improvement', 'product_group': 'Home Improvement', 'color': 'White'}"
137,"Carl Replacement Cutting Mat - Home, Office - Polyvinyl Chloride [pvc] - Gray...","{'assembly_required': 'No', 'physical_characteristicscolor': 'Gray', 'packaged_quantity': '2 / Pack'}"
138,Soundcraft Signature 12 Analogue Mixer,{'weight': '0.0000'}
139,2001 Ford Windstar Turn Signal Light Mini Bulb,{'part_number': 'FL1A'}
140,PowerTel neckloop,"{'dimensions': '-', 'weight': '-'}"
141,Coleman Montana 8-Person Tent,"{'number_of_doors': '1', 'form_factor': 'dome', 'color': 'Green'}"
142,Weller LT Series Soldering Tips - Sloped,{'rohs': 'Compliant Buy Price per unit'}
143,"Tiger River Spa Cover, Bengal Model, Hunter Green, 6"" with 6/4 Taper","{'sold_by': 'Houzz', 'assembly_required': 'No', 'color': 'Hunter Green'}"
144,Audi R8 5.2 FSI V10 Quattro 2dr S Tronic Specifications,"{'minimum_kerbweight': '1595', 'max_loading_weight': '300', 'special_edition': 'False', 'turning_circle-kerb_to_kerb': '11.2', 'special_order': 'False', 'no_of_seats': '2'}"
145,AEG Solo 15 white,"{'volume_control': 'Yes', 'warranty': '12 months'}"
146,20-Volt Max Cordless Grease Gun (Tool-Only),"{'housing_material': 'Plastic', 'tools_product_type': 'Power Tool'}"
147,"WGI Gallery Fishermans Walleye: 24-Inch x 24-Inch, Wall Art","{'usage': 'Interior Dry', 'finish': 'Multicolor'}"
148,"Dimmable Edison LED Bulb - 6W ST64 Warm White 2200K 350Lumens, 60W Equivalent - KEDSUM Vintage Filament LED Lighting bulbs E26 Antique Squirrel Cage Light for Decorate, Pack of 6","{'dimmable': 'Yes', 'shape': 'Bulb', 'type_of_bulb': 'LED', 'batteries_included': 'No', 'color': 'Yellow'}"
149,"Dimmable Edison LED Bulb - 6W ST64 Warm White 2200K 350Lumens, 60W Equivalent - KEDSUM Vintage Filament LED Lighting bulbs E26 Antique Squirrel Cage Light for Decorate, Pack of 6","{'dimmable': 'Yes', 'shape': 'Bulb', 'type_of_bulb': 'LED', 'batteries_included': 'No', 'color': 'Yellow'}"
150,De Grisogono Instrumento Grande Diamond/Sapphire Watch Item No. Grande S03,"{'calendar': ""Date display at the 6 o'clock position"", 'product_category': 'Watches', 'crystal': 'Scratch Resistant Sapphire', 'clasp': 'Deployment with Push Button', 'hands': 'Silver-tone', 'luminiscence': 'Hands', 'band_type': 'Strap', 'movement': 'Automatic', 'case_back': 'Skeleton'}"
151,De Grisogono Instrumento Grande Diamond/Sapphire Watch Item No. Grande S03,"{'calendar': ""Date display at the 6 o'clock position"", 'product_category': 'Watches', 'crystal': 'Scratch Resistant Sapphire', 'clasp': 'Deployment with Push Button', 'hands': 'Silver-tone', 'luminiscence': 'Hands', 'band_type': 'Strap', 'movement': 'Automatic', 'case_back': 'Skeleton'}"
