,titles,keys,cluster_num
9877,2017 1/2 oz Austrian Gold Philharmonic Coin (BU),['year'],-1
9483,2015 Yamaha Marine SX210,['year'],-1
9353,1954 10C Roosevelt Dime,"['edge', 'year']",-1
9324,Quietness,['year'],-1
1563,Cratoni C-Shot Helmet 2015 - red-white glossy,['year'],-1
2551,The Great Vivitar 28mm Bestiary: Details,['year'],-1
10404,STI JDM Grille with STI Emblem,['year'],-1
2280,RENAULT CLIO Renaultsport 200,"['doors', 'owners', 'vehicle_sub_type', 'gear_type']",-1
4927,Nissan 370Z,"['doors', 'owners']",-1
4229,Samsill Vintage Hardback Zipper Padfolio,"['sheet_size', 'package_type']",-1
7523,Avaya Power Module,['http'],-1
7831,Gibson Home Total Kitchen Cookware Cutlry 30p,['http'],-1
8086,Gibson Home Winsted Cutlery Set 22 Piece,"['dishwasher_safe', 'http']",-1
6383,Kramer Dual Cable Pass Through,['http'],-1
5793,QVS 3.5mm Female to 1/4 Male Audio Stereo Adaptor,['http'],-1
6043,Amzer Silicone Skin Jelly Case - Black for iPhone 6,['http'],-1
7132,Fellowes Photo Gel Wrist Rest,['http'],-1
10392,Honeywell Printhead,['http'],-1
10149,Fujitsu FPCPR132AS Port Replicator,"['vga', 'http', 'total_number_of_usb_ports']",-1
11432,Bosch D101 Lock and Key Set,['http'],-1
11355,HP Server Redundant Power Supply Backplane Kit,['http'],-1
10951,Xerox HCF Feed Roller,['http'],-1
10991,Intel Computer Case,['http'],-1
9613,SYBA Multimedia Ergonomic Foot Rest with Massage and Floating Tilt function,['http'],-1
2025,Lexmark Printer Cabinet,['http'],-1
1597,HP DL380 Gen9 Secondary 3 Slot GPU Ready Riser Kit,['http'],-1
5017,Essential Waitrose Small Reclosable Freezer Bags 180x200mm 40 per pack,['package_type'],-1
384,Volvo 940,"['doors', 'owners']",-1
50,Asus MagSmart Carrying Case for Tablet,"['http', 'durability', 'package_type']",-1
2718,Oatmeal Squares Honey Nut Cereal - 14.5 oz - Quaker Oats,['package_type'],-1
6416,Burago 1/32 VW Polo R WRC Ogier 2014,['scale'],-1
10489,AutoCult McQuay-Norris Streamliner (1934) (USA),['scale'],-1
10812,"Beet wagen, ready-made",['scale'],-1
1731,Piko H0 55225 Three-Way Switch 15° & 15°/R9,['scale'],-1
2761,FORD USA - COUNTRY SQUIRE FAMILY WAGON T R U C K-STER 1983 WITH AUNT EDNA - NATIONAL LAMPOON'S VACATION MOVIE,['scale'],-1
102,Details about *RARE* MINICHAMPS Emerson Fittipaldi Penske/ Mercedes #2 1/18 Scale NEW IN BOX,['scale'],-1
10,Maisto 1/18 Mercedes Benz SLR McLaren Diecast Model,['scale'],-1
802,Tekno Den Ouden Tank Transport Volvo FH04 Globetrotter with Goosneck tanktrailer 68698,['scale'],-1
4489,"Plymouth Prowler (diecast 1:64, Matchbox Superfast)",['scale'],-1
5549,Delahaye Type 135 M-Cabriolet Year 1937 white / red,['scale'],-1
3024,Lotus Esprit Series 2 ‘World Championship Model’ #033 - Corgi 1:43 Diecast Car VA14201,['scale'],-1
6292,Haribo Happy Cola Gummi Candy 8 oz,['package_type'],-1
6610,Fry's Chicken-Style Strips Frozen 380g,['package_type'],-1
6775,Bardinet French Brandy VSOP 1L,['package_type'],-1
9975,"Cyber Acoustics Exo-Rail Carrying Case for 9.7"" iPad Air, iPad Air 2, iPad Pro",['package_type'],-1
1979,Conair FB3 Foot Bath Perp With Vibration & Heat,"['package_type', 'backlight']",-1
2612,MG ChenGuang PP 36PCS Wooden Craft Drawing Pencil,['package_type'],-1
2203,"Mersen, formerly Ferraz Shawmut UL Class CC Fuses, ATMR Series","['rohs', 'package_type', 'amps', 'approvals']",-1
6715,SSR Wheels GTV01,"['trim', 'year']",-1
6794,Creation Audio Labs - MK.4.23 - Clean Boost Effect Pedal,"['year', 'product_specscondition']",-1
6576,Semi-custom Rear Seat Pet Protectors,['year'],-1
3978,Step To Secure Metal Walk Thru Gate Silver Tall Gate Full Width 27200,['platform'],-1
4216,Sergeant's - Pet Armor Plus For Dogs - Fast Acting!!! Md/lg Dogs 45-88lbs 3 Tube,['platform'],-1
3684,Kingdom Creations 30-piece Baby And Child-proofing Corner Guard Safety Kit Brown,['platform'],-1
3602,Milwaukee Arbor 49-57-0035 Quick Change Adapter 3/8 Shank/steel Hawg Cutter,"['platform', 'original_list_price']",-1
3627,CDER40090M,['platform'],-1
1392,2016 Dodge Charger 4dr Sdn R/T Scat Pack RWD Sedan RWD,"['driver_vanity_mirror', 'illuminated_entry', 'rear_window_defroster', 'passenger_vanity_mirror', 'fully_automatic_headlights', 'automatic_temperature_control', 'front_dual_zone_ac']",-1
6805,Heat Seal Roll (Set of 3),['appliance_type'],-1
2607,Cuisinart Power Advantage PLUS HM-90BCS Hand Mixer,['appliance_type'],-1
1328,Genuine Replacement Refrigerators Water Filter (3-Pack),['appliance_type'],-1
8381,UPlay Today Blue Commercial Junior Horizontal Ladder,"['returnable', 'mounting', 'recommended_age_range']",-1
8226,Climbing Rose Blaze,['returnable'],-1
5923,GXW Wireless 12 MP Scouting Camera,['returnable'],-1
9095,Fresh Terracotta Color Roses (100 Stems),['returnable'],-1
9728,iLive Gnome Speaker,['returnable'],-1
234,Signal Mountain 10 ft. x 9 ft. 6-Person Instant Tent,"['number_of_doors', 'returnable']",-1
3254,Natureview Roof Prism Binoculars (10 x 42 mm),['returnable'],-1
9752,Lorex 1 Megapixel Surveillance Camera - Color,"['color_supported', 'applicationusage', 'connectivity_technology', 'image_sensor_type']",-1
4037,1877 1c Indian Cent Anacs Vf 35 Details,"['platform', 'certification']",-1
9450,Wilson Sports Louisville Slugger Omaha Select Series 11`` Bb Glove - Right Hand Throw,"['applicationusage', 'http']",-1
4031,Control4 Wireless Dimmer Ldz-101-x Home Automation Control,['platform'],-1
3180,Daniel Wellington Women's 0508dw Classic Sheffield Analog Display Quartz Black,['platform'],-1
760,Evoshield Shirt Blue Size Medium Graphic T,"['platform', 'size']",-1
1001,"Baby Food Maker, Blender, Bottle Warmer, Bpa-free, Steam Chop Puree, 4 Cup Work",['platform'],-1
4756,Joyo Jmd-05 Portable Digital Electronic Practice Drum Pad + Drum Stick Bag I3c8,['platform'],-1
4797,Final Fantasy X-2 Sony Ps2 Complete Pack Square Enix Very Good Condition,"['platform', 'region_code']",-1
4962,Lenovo Thinkpad Em7345 4g Wireless Cellular Modem Lte Mobile Broadband 4xc0f4695,['platform'],-1
5467,Etm 4500104 Individual Er-16 Spring Collet - Size: 7/32',['platform'],-1
5471,Logisys Computer Mdled5gn Green 5led Lazer Light,"['platform', 'original_list_price']",-1
5385,Davinci Labs Zinc Lozenge 60 Count Lemon Flavored,"['platform', 'age_group']",-1
5710,Abbott 1.5mm X 60° Serrated Pie Jaws - Style Q Chuck Size: 8'',['platform'],-1
5567,Bag Trash Compactor Wet Strength Paper Plastic Liner Pre-cuffed Maximum Strength,['platform'],-1
5300,Oral-b Pro 5000 Smartseries Bluetooth Electric Rechargeable Toothbrush Pg-6952,['platform'],-1
5212,"Collagen Neocell Super Collagen+c Type 1 And 3, 6000mg Plus Vitamin C, 250 Count",['platform'],-1
5277,Lanikai Tunauke Concert Ukulele Lutu-21c Ukulele 24.2 X 8.4 X 3.1 New,['platform'],-1
3325,New Toho 30cm Series Mechagodzilla 1975 Height Approx 270mm Pvc-painted Pvc Fig,['platform'],-1
3020,Bison 16” 3 Jaw L1 Spindle Mount Manual Lathe Self Centering Chuck,['platform'],-1
2954,Mixer Stand Vintage Model Hamilton Beach Sunbeam Speed Mixmaster Bowl G Beaters,"['platform', 'number_of_speeds']",-1
2944,"Rockwell Rw9141 Sonicrafter 80 Grit Sanding Sheets, 20-piece...free Shpping",['platform'],-1
3067,Marvel Deadpool Backpack Cosplay Anime Shoulder Computer Bag Bookbag,['platform'],-1
4766,Deflecto SuperMat CM14233 Chair Mat,['applicationusage'],-1
4644,Amped Wireless WA12 Wi-Fi Antenna,['applicationusage'],-1
5191,Ambrane P-1313 13000mah Power Bank - Pink,['rechargeable'],-1
3859,LIGHTIFY GARDENSPOT MINI WADD-ON4X1OSRAM,"['minimum_order', 'degree_of_protection_ip', 'family', 'standard_packaging', 'with_lamp', 'protection_class']",-1
6329,2700lm 830 24° WT,"['dimmable', 'family', 'protection_class', 'degree_of_protection_ip', 'lamp_power_w', 'with_lamp', 'ignitor', 'standard_packaging']",-1
10347,LXPT MACRO 20 ECO 3000 K 90° WT,"['dimmable', 'family', 'protection_class', 'degree_of_protection_ip', 'lamp_power_w', 'with_lamp', 'ignitor', 'standard_packaging']",-1
5198,MONSUN T8 2X36 W,"['dimmable', 'degree_of_protection_ip', 'with_lamp', 'family', 'standard_packaging', 'protection_class']",-1
7717,US Proof Set 1997 Silver,"['thickness', 'diameter', 'year', 'grade']",-1
7333,2015 Great Britain 1 oz Gold Britannia BU,"['purity', 'year']",-1
7307,POWER STEERING PUMP FORD RANGER,"['intended_use', 'year']",-1
7254,"The Collectible Cars ""Share and View"" Photo Gallery","['value', 'year', 'transmission_type', 'engine_type', 'mileage']",-1
7455,Mountain Equipment Odyssey Pant - 101 black,"['year', 'season']",-1
7354,Fox Demo DH MTB Pants - red,"['year', 'season']",-1
7984,New 2017 Toyota Sienna LE,"['trim', 'year', 'vehicle_type']",-1
8070,SRAM Via GT Disc Brake rear - Falcon Grey,['year'],-1
6418,1776 France Proof Gold Tribute Libertas Americana Medal,['year'],-1
5900,+972 3 376 1897,"['purity', 'year']",-1
6926,40’ Beneteau 40 Sloop “Chrism”,['year'],-1
6823,New 2016 Kia Optima LX Turbo,"['year', 'vehicle_type', 'mileage']",-1
7120,2017 Honda Power Equipment EM4000S,['year'],-1
4094,ZCP770 BSP A5-17,"['family', 'minimum_order', 'standard_packaging', 'pieces_per_pack', 'packs_per_outerbox']",-1
5138,BCS439 15x30 AM L609,"['dimmable', 'ambient_temperature_range', 'minimum_order', 'lifetime_to_70_luminous_flux_hr', 'pieces_per_pack', 'product_family_code', 'lamp_colour_code', 'glow-wire_test', 'protection_class_iec', 'family', 'standard_packaging', 'mech_impact_protection_code', 'beam_angle_of_light_source_d', 'lamp_family_code', 'length', 'ul_mark', 'packs_per_outerbox', 'ingress_protection_code']",-1
4892,5W CANDLE LED LAMP,"['payment_condition', 'minimum_order']",-1
1098,Round brass shower head,['minimum_order'],-1
7672,Sports Composite Board,"['delivery_lead_time', 'payment_condition', 'minimum_order']",-1
7856,Oil / water temperature gauges,"['delivery_lead_time', 'minimum_order']",-1
8162,"YIYI ENTERPRISE CO., LTD.","['payment_condition', 'minimum_order']",-1
6035,Smart 12V Charger,"['payment_condition', 'minimum_order']",-1
10616,"ARO Style Coupler, Male",['minimum_order'],-1
10202,"FIRE POWER CO., LTD.",['minimum_order'],-1
10114,RVP351 SON-TPP250W K IC A,"['gear', 'ingress_protection_code', 'lamp_power_w', 'minimum_order', 'pieces_per_pack', 'glow-wire_test', 'optic_type', 'protection_class_iec', 'family', 'standard_packaging', 'mech_impact_protection_code', 'lamp_family_code', 'number_of_light_sources', 'packs_per_outerbox']",-1
10247,"RENAULT ENGINE OIL SUMP/OIL PAN 8200535855, 8200535848, 8200535856, 8200765588","['payment_terms', 'minimum_order']",-1
1447,Plantronics Eartip,['http'],-1
10294,SYM GR stroke extended crankshaft,"['delivery_lead_time', 'payment_condition', 'minimum_order']",-1
10917,DBC905W,"['family', 'standard_packaging', 'minimum_order', 'pieces_per_pack', 'packs_per_outerbox']",-1
8656,Lopper,"['delivery_fob_port', 'minimum_order']",-1
8888,Rectangular-tenon Jointer,"['delivery_fob_port', 'delivery_lead_time', 'minimum_order']",-1
9822,Membrane Overlay assembled with FPC,"['payment_condition', 'minimum_order']",-1
10010,"CHUNGSIN TECHNICAL ENGINEERING SALES CO., LTD.",['minimum_order'],-1
1690,MASTERColour CDM-R Elite 35W/930 E27 PAR20 10D,"['dimmable', 'minimum_order', 'family', 'packing_configuration', 'burning_position', 'packs_per_outerbox', 'pieces_per_pack', 'standard_packaging', 'colour_temperature_k']",-1
2568,15031【Light Fan】Jade Mt. BLDC Brushless DC / Flat Black,['minimum_order'],-1
2290,2012 Venom Segad C1 Racing RTR Gas Boat W/ Clutch VNR1813,['minimum_order'],-1
11257,Oil pump gears for trucks,"['payment_condition', 'minimum_order', 'delivery_fob_port']",-1
778,Bdellium Tools Professional Makeup Brush Green Bambu Series Smoky Eyes 5pc. Brus,['platform'],-1
2314,Polycom HDCI Video Cable,['http'],-1
2476,Cyberpower 3M 7-Pin Cable Telemetry-for DC P/S,"['http', 'product_name']",-1
4544,Casio EX-FS10 Review,"['extended_iso', 'lens', 'viewfinder', 'sensor_size']",-1
4193,Olympus E-PL3 Review,"['viewfinder', 'max_aperture']",-1
9861,Olympus EVOLT E-500,['sensor_type'],-1
2482,JVC Quad Proof Everio Full HD Camcorder - Orange,['self-timer'],-1
7203,American Dynamics L0812NI,['lens_mount'],-1
6378,SourceSecurity.com,"['chip_inch_size', 's_n_signal_noise_ratio_db', 'specialist_type', 'lens_mount', 'picture_elements_hxv', 'signal_mode', 'colour_type', 'synchronisation']",-1
5964,Baxall CDX9714/LV,"['color_type', 'lens_mount', 'resolution_tvl']",-1
9135,Bosch LTC 3664/40,['lens_mount'],-1
3488,Vanderbilt CLVD1218/10-40,['lens_mount'],-1
1346,Samsung Galaxy S4 LTE - 16 GB - Black Mist - Straight Talk Prepa,"['radio', 'nfc', 'gps']",-1
8462,Air Conditioning System in Pune,['power_source'],-1
6125,August AUG-AC02 Connect AC-R1 Adapter for Smart Lock White,"['color_category', 'power_source']",-1
10363,Samsung Refrigerator RF23HCEDBBC,['power_source'],-1
9122,Magnetic Drive Centrifugal Pumps from India,['power_source'],-1
8962,Stretch Blow Molding Machine from India,['power_source'],-1
9833,Open Well Submersible Pump,['power_source'],-1
9747,Details about Poulan Pro PP025 2 Cycle 25cc Gas Powered Curved Shaft Gas Line String Trimmer,['power_source'],-1
1657,Sony DSC-W300 Review,"['extended_iso', 'lens', 'shutter', 'viewfinder', 'max_aperture']",-1
2137,Simer 1 1/2 HP Thermoplastic Sprinkler Pump,"['housing_material', 'power_source']",-1
1575,Pentax K100D Review,"['viewfinder', 'shutter', 'max_aperture']",-1
7788,Panasonic ZS60 Review,"['viewfinder', 'extended_iso', 'sensor_size', 'max_aperture']",-1
5601,1.0 VVT-i Colour Collection 3d (02),"['top_speed', 'ved_band', 'vehicle_tax_cost']",-1
6118,Carlson 14193 Front Brake Caliper Bolt and Pin,"['product_weight', 'package_weight']",-1
1205,"Haimer E32.020.16 Collet Chuck, ER 16, Short, Version HSK-E32",['package_weight'],-1
3783,Barco MXRT-2100 128MB PCIe x16 Dual Head Diagnostic Imaging 102A6711923 K9305010,"['product_weight', 'package_weight']",-1
9626,AOC U3277PQU,"['brightness', 'contrast_ratio', 'productgroep']",-1
5321,JANZ Matchvoll Terminal Casier set OS [JZ-Ti 310],['brightness'],-1
3143,Industrial Panel PC IP-65 Grade,"['brightness', 'processor_count']",-1
4190,"LG TV Signage SuperSign 55"" [LW540S]",['brightness'],-1
3911,"Inkpress Proofing Matte Paper 13 X 19, 100 Sheets",['brightness'],-1
7884,Southern Comfort I 9 Bed/9 Bath Private Dock Norris Lake,"['response_time', 'property_type', 'internet']",-1
10648,"Has Wi-Fi and Internet Access - Rental in Nice, France",['response_time'],-1
1538,"Waterfront Cottage with Live-in Boathouse Fenelon Falls, Sturgeon Lake, Ontario","['bedrooms', 'bathrooms', 'response_time', 'property_type', 'internet']",-1
2556,Viewsonic VA2046A,"['response_time', 'compatibility']",-1
9845,MANUFACTURER Philips,"['hdcp', 'speakers', 'contrast_ratio']",-1
1215,Projectors / Mitsubishi Projectors / Mitsubishi Business and Education Projectors / Mitsubishi WL2650U Projector,"['aspect_ratio', 'contrast_ratio']",-1
3398,3000 лм Hd домашнего кинотеатра мультимедиа привело проектор видео 1080p 3d Hdmi Usb Vga Ouku 4328857 4: 3 и 16: 9 Usb Av,['contrast_ratio'],-1
9607,AOC 21.5” I2280SWD IPS MONITOR,"['power_supply', 'cabinet_color']",-1
5885,Sanyo VPC-E6 Review,"['lens', 'viewfinder', 'resolution', 'max_aperture', 'sensor_size']",-1
4525,E270 CDI Avantgarde 4d Auto,"['torque', 'top_speed', 'ved_band', 'vehicle_tax_cost']",-1
2702,"1,500 Watt Portable Electric Fan Compact Heater","['product_information', 'power_source']",-1
4809,Canon 2-color Printing Calculator Silver CNM MP25DVS,['power_source'],-1
10312,Sony Xperia Zl Mobile Phone,['bluetooth'],-1
9683,AVR 1710,['bluetooth'],-1
681,DOOGEE X9 3G Phablet,"['system', 'bluetooth', 'cpu']",-1
1134,LG LH64G 4.1 Channel Home Audio System,['bluetooth'],-1
747,Onkyo TX-RZ1100,"['wifi', 'bluetooth']",-1
4617,DOOGEE X7 3G Phablet,"['cpu', 'sim_card_type', 'gpu', 'system', 'os', 'bluetooth']",-1
4023,Elephone S7 4G Phablet,"['bluetooth', 'system']",-1
5746,Crescent Curved Frameless Shower Enclosure,['door_type'],-1
7210,DUCATI SCRAMBLER 800,['frame_type'],-1
8843,HONDA SILVER WING 600,['frame_type'],-1
8835,Frameless Mask,['frame_type'],-1
4456,Home of the Best Quality Prescription Lenses and Prescription Glasses Online,"['lens_type', 'frame_type']",-1
3427,HONDA VFR1200F DCT,['frame_type'],-1
10459,Belkin F5U701-BLK F5U701CWBLK,['colour_of_product'],-1
1474,FELLOWES I-SPIRE SERIES LAPTOP LIFT,['colour_of_product'],-1
379,11229-00-20G Sapphire Technology Sapphire Technology RADEON UK Price,['colour_of_product'],-1
4467,Samsung 850 EVO,"['colour_of_product', 'internal', 'operating_temperature_t-t']",-1
6050,Xnano X96 Pro S905X TV Box,"['power_supply', 'ram_type', 'system', 'bluetooth']",-1
346,Kinyo Double Core Electric Breast Pump Powerful Hand-Free Breast Milk Suction Pump Digital Lcd Display With 140Ml Milk Bottle,['power_source'],-1
8229,Full Specifications and Features,['bluetooth'],-1
7666,Shure SE535,"['bluetooth', 'volume_control']",-1
5310,10PCS High Power Professional Blue-Violet Laser Pointer Pen 5mw 405nm Beam Light,['power_source'],-1
3500,Details about Texas Instruments TI-108 Basic Solar Powered Calculator w/ Cover Red White Blue,['power_source'],-1
2963,Trans Globe Lighting Portable Under-Cabinet Fixture,['power_source'],-1
4097,Philips Viva Collection Pasta Maker with 3-piece Pasta Disc Set and Recipes,['power_source'],-1
4188,AP-5131-13040-D-WR - Symbol AP5131 Access Point,"['wireless_lan_standard', 'power_source', 'unii_band']",-1
3870,Gast 1HAB-10-M100X,['power_source'],-1
8563,Musical Fidelity M3i,['wi-fi'],-1
5573,SeaLife DC2000 HD Underwater Digital Camera with Sea Dragon Pro Duo Light & Flash Set,"['optical_zoom', 'wi-fi', 'bluetooth']",-1
5204,Broadlink RM Pro Smart Home Automation Phone Wireless Remote Universal Controller,['wi-fi'],-1
8483,1591889,"['bulbs_included', 'housing_material', 'lens_material', 'lens_color', 'installation_hardware_included']",-1
1767,"71"" Aubretia Cast Iron Double Slipper Tub",['drain_included'],-1
4577,GearWrench 81270 3/8 in. Drive Gimbal Ratchet,"['drive_size', 'construction']",-1
5335,Stanley Products 85-956 Stanley Tools for The Mechanic 17 Piece Socket Sets,"['drive_size', 'hazmat', 'measuring_system']",-1
10465,"Non-Illum Push Button Operator, Mushroom","['ip_rating', 'standards']",-1
4842,"Illum Push Button Operator, 30mm, No Cap","['ip_rating', 'standards']",-1
4618,"ITW Red Head 1/2"" x 7"" Wedge Anchor",['standards'],-1
2977,"70-8 - Rail Support, 40mm (1-1/2"")",['standards'],-1
8019,UHANS A6 3G Phablet,"['system', 'bluetooth', 'os', 'cpu', 'sim_card_type', 'feature']",-1
20,2.0 GT TDI 5d,"['torque', 'top_speed', 'ved_band', 'vehicle_tax_cost']",-1
664,Modern Room Furniture RST Outdoor Cantina 2 Piece Sectional Sofa Set RST1056,['seating_capacity'],-1
10445,2004 Cirrus SRV-N936CD,['seating_capacity'],-1
8561,Melissa McCarthy Seven7 Permanent Crease Trouser - Missy,"['length', 'care']",-1
8126,GapFit kids bones sport leggings,"['length', 'overall', 'waist']",-1
8117,GapFit kids knit shorts,"['length', 'overall', 'waist']",-1
6306,Sisley Slim Fit Jeans White Jeans Store Sale,"['fabric', 'length']",-1
7060,Big Bertha Fusion Drivers,"['length', 'length_of_ownership', 'age', 'shaft_material']",-1
6552,Fashion Design Leggings 3d Print Cosplay – 8 Styles,"['thickness', 'length', 'item_type', 'fabric_type']",-1
6740,ColdControl Max hooded puffer vest,"['sleeves', 'length', 'chest', 'overall']",-1
6796,Inset panel true skinny ankle jeans,"['overall', 'waist', 'length']",-1
8596,ColdControl Max puffer jacket,"['sleeves', 'length', 'chest', 'overall']",-1
10605,Select Honed & Filled Silverado,['length'],-1
10565,AIM SPORTS 3-12X50 DUAL ILL. EURO W/RINGS JDR31250G,['length'],-1
10308,Embellished graphic tee,"['sleeves', 'length', 'overall']",-1
11189,Monarch Copper Gutter Reducer,"['length', 'international_shipping']",-1
11156,Bobbi Boss Synthetic Wig M934- Dolina,['length'],-1
10947,GapFit kids heather puffer parka,"['sleeves', 'length', 'overall']",-1
9019,Aceriria,['length'],-1
9942,Rolling Stones: Brit Tongue T-Shirt (Small),['length'],-1
8513,Bang Bangster BOM Series 5 Wood,"['shaft_material', 'length']",-1
9352,Maternity inset panel true skinny ankle jeans,"['overall', 'waist', 'length']",-1
7876,Serena Williams Tribal-Print Drawstring Pant,"['size_choices', 'length', 'care', 'inseam', 'content']",-1
3635,"Schneider Electric / Square D 9001KN264SP Harmony™ Square Legend Plate; Plastic, Silver Legend With Black Letters","['sub_brand', 'mfrvendor', 'select_code', 'eu_rohs_indicator']",-1
372,HP 10ft Power Cable,['http'],-1
658,Mota Toy Fire Engine (Small),['http'],-1
542,D-link 4-port iSCSI RAID Controller,"['email', 'part_number', 'rohs', 'http']",-1
112,Black Box Network Services 2-Port Inserts for GigaStation2 Surface-Mount Housings - White,['http'],-1
15,QVS DisplayPort Male to VGA Female Digital Video Adaptor,['http'],-1
221,Belkin Universal HDMI to VGA Adaptor with Audio B2B137-BLK by Belkin,['http'],-1
228,HID Global MiniProx 5365E Card Reader Access Device,['http'],-1
831,"Amzer ShatterProof Screen Protector for iPad Air, iPad Air 2",['http'],-1
824,Motorola 1532 High-Capacity Battery Pack,"['battery_size', 'http', 'battery_chemistry']",-1
966,AddOn Displayport to HDMI Adapter Converter Cable - Male to Female,['http'],-1
4998,Belkin 6-Outlet Wall Mount Surge Protector,['http'],-1
4341,Lenovo ThinkPad EM7345 4G LTE Mobile Broadband,['http'],-1
3425,Mota Slim Armor Smartphone Case Galaxy S7 Edge,['http'],-1
3839,"Lenovo ThinkStation 2.5"" HDD Bracket Kit",['http'],-1
3815,"Mota iPhone 6 LED Flashing Case, MOTA Ultra-thin Illuminating Case Cover - Gold",['http'],-1
2956,"Procter & Gamble Dustall Dusters, Nylon, 7 1/2"" Duster, White, 10/Carton","['carton_pack_quantity', 'bristle_material']",-1
4361,"Klein Tools 56210 Conduit Bender Head; 1 Inch Conduit, Iron","['select_code', 'mfrvendor']",-1
2481,OZ/Gedney 7-50 OZ-G 1/2 MALL BUSHED NIPPLE,"['eu_rohs_indicator', 'select_code', 'commodity_code']",-1
9398,Solid zip sweatshirt tunic,"['sleeves', 'length', 'chest', 'overall']",-1
9615,Cotton Modal Long Sleeve Crew,"['sleeves', 'overall', 'length', 'chest']",-1
9497,Brushed tech jersey joggers,"['length', 'overall', 'waist']",-1
3727,Stadler Form Max M-006 space heater,"['clock', 'timer', 'remote_control', 'wheels']",-1
2058,Graf von Faber-Castell Guilloche Fountain Pen Chevron GV13760,"['tip_type', 'ink_type']",-1
2812,Kaweco AL Sport Fountain Pen Blue Stonewashed KW30874,"['tip_type', 'ink_type']",-1
511,Graf von Faber-Castell Tamitio Fountain Pen Night Blue GV44162,"['tip_type', 'ink_type']",-1
1164,"Sharpie Fine Point Permanent Marker, 36 ct. - Black",['tip_type'],-1
4353,Graf von Faber-Castell Heritage Fountain Pen Limited Edition Ottilie GV52844,"['tip_type', 'ink_type']",-1
3448,Pentel KLR7 Gel Ink Refill PN10320,['tip_type'],-1
3078,Kaweco AC Sport Fountain Pen Racing Orange KW52417,"['tip_type', 'ink_type']",-1
7820,Crosley Cruiser Portable Turntable,['built-in_speakers'],-1
2998,Sony FDR-X1000VR,"['sensor_type', 'manual', 'colour_of_product', 'battery_technology', 'built-in_speakers']",-1
10253,Casio Men's PRG-270 Pro Trek Triple Sensor Multifunction Digital Sport Watch,"['band_length', 'calendar', 'clasp', 'brand_seller_or_collection_name', 'dial_color', 'case_material', 'band_material', 'item_shape', 'bezel_function', 'band_color', 'model_year', 'display_type', 'bezel_material']",-1
1699,Nikon Camera --List-- 5 models,"['sensor_type', 'flash_type', 'viewfinder_type', 'battery_form_factor', 'camera_type', 'display_type']",-1
2785,Toshiba Excite 10,['display_type'],-1
860,2015 Newest Fashion Touch Screen Android Bluetooth Wifi Smart Watch,"['design', 'display_color', 'display_type']",-1
