,Prod_ID,titles,keys,values,cluster_num
8168,ID_11236,MartinLogan Motion® Vision X,"['design', 'ethernet', 'enclosure', 'wifi', 'color']","['Bar', 'No', 'Bass Reflex', 'Yes', 'Gloss Black']",-1
8169,ID_11689,Nerf Vortex PRAXIS Blaster,['manufacturer_recommended_age'],['8 years and up'],-1
8175,ID_10886,"Memorex™ CB25 In-Ear Color Earbuds, Pink",['bluetooth'],['No'],-1
8177,ID_10851,Basque woman wool mohair Little Big 70035,['availability'],['yes'],-1
8180,ID_10830,VAUXHALL INSIGNIA,"['space_saver', 'alloys', 'length', 'tyre_size_rear', 'width_including_mirrors', 'tyre_size_rear', 'turning_circle-kerb_to_kerb', 'luggage_capacity_min', 'no_of_seats', 'fuel', 'height', 'max_roof_load', 'wheelbase', 'width']","['False', 'True', '4830', '245/45 R19', '2084', 'TYRE REPAIR KIT', '11', '500', '5', '70', '1498', '100', '2737', '1856']",-1
8181,ID_10900,Slip Ring Motor Exporter from India,['number_of_poles'],['4'],-1
8182,ID_10899,Oldham + Harper Painted Bunting Glass,"['washable', 'microwave_safe', 'hand_wash_only', 'oven_safe', 'color']","['Yes', 'Yes', 'No', 'No', 'Multi-Color']",-1
8184,ID_11238,Melrose International White Coral Storage Box,"['use', 'finish']","['Interior Dry', 'White']",-1
8216,ID_10908,"Romantic Guide to Handfasting: Rituals, Recipes & Lore",['paperback'],['240 pages'],-1
8083,ID_11730,PIXMA MG3620,['scanner_type'],['Flatbed'],-1
8081,ID_8808,Peerless SmartMount Universal Flat Wall Mount,['standard'],['UL'],-1
7977,ID_9270,2012 Chevrolet Sonic 4 Cy LT - Barrie,"['status', 'transmission', 'automatic']","['Stock Number', 'Doors', '4']",-1
7978,ID_8757,HTC Desire 816,"['calendar', 'timer', 'wifi', 'nfc', 'speakerphone', 'infrared', 'removable_battery', 'gps', 'type', 'color', 'alarm', 'email', '3d', 'flash', 'bluetooth']","['Yes', 'Yes', '802.11 b/g/n', 'Yes', 'Yes', 'No', 'No', 'A-GPS', 'Color', '16.7 million', 'Yes', 'Yes', 'No', 'Yes (LED)', '4.0']",-1
7979,ID_8799,nassau sandals,"['length_of_ownership', 'age', 'frequency_of_use']","['1 week', '25 to 34', 'Daily']",-1
7982,ID_12076,You Don't Look Your Age...and Other Fairy Tales,['paperback'],['272 pages'],-1
7983,ID_8790,Spiderman By Marvel Edt Spray 3.4 Oz,"['shipping', 'quantity']","['Calculated at checkout', '1']",-1
7984,ID_11971,"Tube Brush w/o Handle, 6-1/2""L, Stiff","['chemical_resistant', 'bristle_material']","[': Yes', ': Polyester']",-1
7986,ID_12006,"Soul 1.6 CRDi Urban in Inferno Red £14,995","['torque', 'height', 'fuel_type', 'engine_size', 'speed']","['~ Nm', '1,600 mm', 'Diesel', '1,582 cc', '112 mph']",-1
7975,ID_8711,Shark Navigator® Professional Bagless Upright Vacuum,"['cordless', 'wheels', 'filter_type']","['No', 'Yes', 'HEPA']",-1
7987,ID_11985,ORIGINAL LOW WAISTED Ripped SKINNY JEAN IN Original Vintage Blue Denim,['us_size'],['34'],-1
7989,ID_12047,"AC FAN F8 :: Arctic housing fan F8, 80mm",['rohs'],['conform'],-1
7990,ID_11002,Bach: English Suites,"['format', 'number_of_discs']","['Import', '1']",-1
7992,ID_11004,'As Is' Quacker Factory Short DreamJeannes Copper Crush Boot Cut Pant,"['rise', 'care', 'content']","['at the waist', 'hand wash, hang dry', '96% cotton/4% spandex']",-1
7995,ID_11006,LCD Monitor Online Store,['form_factor'],['1U Rack-mountable'],-1
7996,ID_12457,Mahogany and Rustic Iron Heritage Umbrella Stand,['weight'],['Finish'],-1
7997,ID_11027,UP IN & OVER Bouncetastic Inflatable Bouncer,"['binding', 'warranty']","['Toy', 'No Warranty']",-1
7999,ID_10796,"2017 YUCHAI YCD55 for sale $92,000",['listing_type'],['New'],-1
7988,ID_11987,"Hawaiian Tropic Lotion Sunscreen, Tanning, SPF 4, 8 fl oz (236 ml)","['width', 'edition']","['2.75', 'Online']",-1
7973,ID_12020,DekoRRa Products,['product'],['Product Features'],-1
7972,ID_9220,"Revell German truck type 2,5-3,2",['warranty'],['12 months'],-1
7968,ID_9271,eBay: Step-by-Step Guide to Making Money and Building a Profitable Business on eBay,['version'],['Unabridged'],-1
7939,ID_8794,Disney Lilo & Stitch Tropical Kimono,"['sm', 'waist', 'us']","['3', 'LOW HIP', 'UK']",-1
7940,ID_8717,Crosley Cruiser Portable Turntable,['built-in_speakers'],['Yes'],-1
7941,ID_8795,Introducing View Constraints: The Core iOS 6 Developer's Cookbook,"['pages', 'edition']","['40', '1st eBook (Watermarked)']",-1
7943,ID_9159,Jeep Grand Cherokee Laredo Headlights OE Style Replacement Headlamps Driver/P…,"['productgroup', 'package_quantity', 'product']","['Automotive Parts and Accessories', '1', 'AUTO_PART']",-1
7944,ID_9236,"2017 Polaris RZR S 900 EPS $16,499 MSRP","['towing_capacity', 'seat']","['1,500 Lbs. (680.4 Kg)', '2']",-1
7945,ID_11974,Wine Tasting Table Base Hand Forged,"['price', 'style_type']","['Get Price', 'Traditional']",-1
7948,ID_11973,"6305 Mission Road,Everson WA, 98247",['exterior'],['Brick'],-1
7949,ID_11972,Baby Warm Fur Lining Flat Lace Up Khaki Shoes,"['color', 'heel_type', 'occasion', 'insole']","['Khaki', 'Flat', 'Casual', 'Rubber']",-1
7950,ID_9198,Disney Frozen Elsa My Size Doll,"['care_and_cleaning', 'battery']","['Wipe Clean with a Damp Cloth', 'required, included']",-1
7951,ID_9237,Monster Truck embroidery design,['type'],['Machine Embroidery Design'],-1
7952,ID_11970,"The Player: Christy Mathewson, Baseball, and the American Century",['paperback'],['224 pages'],-1
7953,ID_9222,Profile: Aquaman #8,"['type', 'availability']","['Comics', 'Released']",-1
7958,ID_8800,One Teacher in Ten: Gay and Lesbian Educators Tell Their Stories,['paperback'],['288 pages'],-1
7960,ID_11977,Mr. Heater Appliance End Fitting,['quantity'],['1'],-1
7962,ID_8708,Spy Satellite manual (Owners' Workshop Manual),['paperback'],['208 pages'],-1
7963,ID_8709,"Magma, Complete Tables, Mounting Hardware Included, Econo Mate",['size'],['Please select...'],-1
7965,ID_8710,Vertiflex SmartWorx Sidekick File Cart,"['number_of_casters', 'assembly', 'packaged_quantity', 'color']","['4', 'Yes', '1 Each', 'Gray']",-1
8000,ID_12054,"Stratux Case with Fan, Clear Acrylic",['memory'],['Motherboards'],-1
8002,ID_11034,CIPA Mirrors 10200 Custom Towing Mirror Set,['new'],['59'],-1
8005,ID_10981,Luce mini pendant,"['number_of_bulbs', 'style_type', 'suspension', 'essential_properties', 'price', 'lamp_type']","['1', 'Transitional', 'Single', 'Handmade', 'Get Price', 'Incandescent']",-1
8008,ID_10988,Nintendo 3DS XL System - Red/Black by Nintendo,['color'],['Red'],-1
8051,ID_9585,Z-Day: Day Of The Zombies (The Z-Day Trilogy Book 2),"['x-ray', 'print_length', 'lending', 'sold_by']","['Not Enabled', '232 pages', 'Enabled', 'Amazon Digital Services LLC']",-1
8053,ID_8703,Slinky® Brand 2pk Palazzo Pants in Print and Solid,"['waist', 'size_choices', 'care', 'content']","['Full elastic', 'XS-XL; 1X-3X', 'Hand wash, dry flat', '95% polyester, 5% spandex']",-1
8054,ID_8996,Polk Audio 90-RT,['sensitivity'],['90 dB'],-1
8056,ID_11738,The Master Teacher,"['acid_free', 'eco-labelstandard', 'quantity']","['n/a', 'SFI Forest Management', '1']",-1
8059,ID_8999,Electricians Combo Kit,"['battery', 'product', 'screen_type', 'battery', 'battery', 'battery', 'case_included']","['AA', 'Test Meter', 'LCD', 'Alkaline', '4', 'Yes', 'Yes']",-1
8060,ID_11693,Fetching Flyer,['color'],['Assorted'],-1
8061,ID_9000,Metal Model: ( CM ),"['type', 'shape']","['Wood', 'Oval']",-1
8062,ID_9091,Rinjard,"['length', 'width']","['Runs small Runs large Length, 2 out of 3', 'Narrow Wide Width, 2 out of 3']",-1
8064,ID_9182,Land Rover Defender 110,"['door', 'owners', 'engine_size', 'category']","['5', '2', '2198', 'Land Rover > Defender']",-1
8067,ID_11743,Thrustmaster TX Racing Wheel Leather Edition,['productgroep'],['Game controllers'],-1
8068,ID_9268,"2016 Hyundai Genesis - $34,000","['door', 'interior', 'drive_size', 'transmission']","['4', 'Beige', 'Rear wheel drive', 'Auto, 8 speed']",-1
8069,ID_8766,Snap Fasteners (4-Pack),"['color', 'color']","['Metallics', 'Zinc']",-1
8070,ID_16065,Energy Suspension 3.1121R Motor Mount by Energy Suspension,['color'],['Red'],-1
8075,ID_9259,QEP Tile Pliers - 32024Q,"['package_quantity', 'handle_material']","['1', 'Plastic']",-1
8076,ID_8810,OUTERDO Bicycle Handlebar Grips Double Lock on Locking Aluminum Grips,['color'],['Red Verified Purchase'],-1
8078,ID_8811,Children Pajamas For Boys Christmas Sleepwear Toddler Shark Clothes Size 2-7 Years,"['department', 'binding', 'color', 'productgroup']","['boys', 'Apparel', 'Blue', 'Apparel']",-1
8080,ID_8814,Business Source Economy Storage Box w/ Lid,"['product', 'recycled_content', 'stackable', 'applicationusage', 'post-consumer-waste', 'assembly', 'environmental_certification', 'packaged_quantity', 'color']","['Storage Case', '60%', 'Yes', 'File', '50%', 'No', 'SFI', '12 / Carton', 'White']",-1
8050,ID_11737,Kaz HC1475 Mind & Body Care Wellness Wrap,['color'],['Green'],-1
8082,ID_9185,Microsoft Lumia 532 Green Modèle 3D,['collection'],['No'],-1
8048,ID_11758,MITSUBISHI SHOGUN,"['tyre_size_rear', 'space_saver', 'max_roof_load', 'alloys', 'tyre_size_rear', 'tyre_size_rear', 'turning_circle-kerb_to_kerb', 'no_of_seats', 'max_towing_weight-braked', 'max_towing_weight-braked', 'wheelbase']","['265/60 R18', 'False', '100', 'True', '265/60 R18', 'FULL SIZE', '11.4', '7', '3500', '750', '2780']",-1
8043,ID_9109,Simple Ascent Men US 11.5 Black Moc Oxford 2105,['color'],"['Black,']",-1
8009,ID_10986,Big Valley: Season 1 (DVD),"['format', 'rated']","['DVD', 'Not Rated']",-1
8014,ID_10790,"Micromax Canvas Unite 4 Pro (Gold, 16 GB)",['sim_type'],['Expandable Storage: -'],-1
8017,ID_9223,Lorell Fortress Series Storage Cabinets,"['recycled_content', 'assembly', 'post-consumer-waste']","['50%', 'No', '50%']",-1
8018,ID_12057,"Verona 36"" Gas Range","['number_of_burners', 'style_type', 'price', 'style_type']","['5', 'Transitional', 'Get Price', 'Italian']",-1
8019,ID_9217,Honda No Second Place T-Shirt,['height'],"[""5'10 - 6'0""]",-1
8020,ID_9174,Smart 12V Charger,"['payment_terms', 'min_order']","['T/T', '100']",-1
8021,ID_9173,Nature Saver Recycled Envelope,"['post-consumer-waste', 'recycled_content', 'assembly', 'color']","['30%', '30%', 'No', 'White']",-1
8022,ID_9191,Details about Dolan Scala TT Aero Time Trial Bike,['type'],['Time Trial/Triathlon Bike'],-1
8026,ID_9156,Men's Pattern Crew Socks - 3 Pack,"['fit', 'size_type']","['true to size', 'Regular']",-1
8029,ID_8740,Spoilt Rotten Pets Christmas Dog Bandana – I’m On The Naughty List – Great Xmas Gift For Dogs – Four Sizes Available,"['binding', 'product', 'productgroup']","['Misc.', 'PET_SUPPLIES', 'Pet Products']",-1
8030,ID_9167,Drew's Famous - DF Pirate Party CD,"['orig_year', 'discs']","['2005', '1']",-1
8031,ID_9165,1948 Aeronca Sedan N1000H,['seat'],['4'],-1
8032,ID_9171,One Percenters - Outlaw Motorcycle Gangs Collector's Set,"['rated', 'format']","['- MA15+', '- 4 DVD']",-1
8033,ID_9197,Honda Civic,"['door', 'owners', 'engine_size', 'category', 'derivative']","['3', '1', '1998', 'Honda > Civic', 'R']",-1
8037,ID_9166,Canyon Trilogy (platinum Edition),['number_of_discs'],['1'],-1
8039,ID_10142,3-Light White Under Cabinet Puck Kit,"['certifications_and_listings', 'color', 'connection_type', 'number_of_bulbs', 'number_of_lights', 'color', 'wattage']","['1-UL Listed', 'White', 'Plug-in', '3', '3', 'White', '60']",-1
8041,ID_10970,Axis Communications F44 Main Unit Video Server,['humidity_range_operating'],['10 - 85% (non-condensing)'],-1
8046,ID_9269,Davinci Labs Zinc Lozenge 60 Count Lemon Flavored,"['platform', 'age_group']","['eBay US', 'Adult']",-1
8217,ID_10953,Ryan Belluni RI 3011 001,['frame'],['Metal'],-1
8218,ID_10955,"Ampad Evidence Glue Top 8-1/2"" x 11"" Pads","['paper_weight', 'sheets_per_unit', 'punchedunpunched']","['15 lb', '50', 'Unpunched']",-1
8219,ID_11980,Maytag Centennial MVWC215EW washing machine,['energy_star'],['No'],-1
8380,ID_17253,UE ROLL,['waterproof'],['Yes'],-1
8381,ID_16053,Totally Products Night Slim-Night Time Weight Loss Pills (30 Capsules),['dimension'],['See Details'],-1
8382,ID_12498,"Baby Relax Mikayla Upholstered Swivel Gliding Recliner, Gray",['color'],['Gray'],-1
8384,ID_17372,Housing Retaining Ring Internal 1/4 Spring Steel PH,['finish'],['Phosphate'],-1
8386,ID_17371,CyberPower Office Tower CP1350AVRLCD UPS,"['service_support', 'service_support', 'connector', 'technology', 'humidity_range_operating', 'quantity', 'network', 'device_type']","['3 years warranty', 'Limited warranty, 3 years', '1 x power NEMA 5-15', 'Lead acid', '0, 95%', '2', 'RS-232, USB', 'UPS, external']",-1
8387,ID_12496,2006 Nissan Wingroad,"['steering', 'drive_size', 'color', 'bodystyle', 'door', 'number_of_seats', 'color', 'transmission', 'fuel']","['Right', '2wheel drive', 'Gray', 'Wagon', '5', '5', 'Blue', 'Automatic', 'Gasoline/Petrol']",-1
8389,ID_17295,"Replacement 5/8""dia Upright Only for BASEOVG7",['finish'],['Chrome'],-1
8379,ID_16888,cheap Jasper Conran Handbag,"['color', 'size', 'dress_length', 'size_mens', 'feature', 'size_type']","['Black Blue', 'S M L XL', 'Above Knee, Mini', 'S, M, L, XL', 'Fashion design,100% Brand New,high quality!', 'Regular']",-1
8390,ID_12505,"Gendering Urban Space in the Middle East, South Asia, and Africa",['paperback'],['248 pages'],-1
8393,ID_17472,Neumann TLM 102 NI,"['connector', 'polar_pattern', 'color']","['XLR', 'Cardioid', 'Satin Nickel']",-1
8394,ID_17473,pleated twill skirt,"['length_of_ownership', 'age', 'location']","['1 week', '25 to 34', 'Houston']",-1
8396,ID_17526,"Cascade 12"" Rosette","['price', 'style_type']","['Get Price', 'Country']",-1
8397,ID_17525,Polaroid Colorful Glitter Gel Pens Pack of 12,['quantity'],['12'],-1
8398,ID_17293,Gardman Feeding Station Wild Bird Replacement Water Bath/tray,"['free_shipping', 'ships_to', 'location']","[', 30-Day Returns', 'GB,', 'Sutton Coldfield,']",-1
8399,ID_17294,Ashton & Willow Camille Mint Quilted 26 x 26-Inch Euro Sham,['use'],['Interior Dry'],-1
8400,ID_12502,Breville BJE430SIL The Juice Fountain Cold,['california_residents'],['Click here for Proposition 65 warning'],-1
8392,ID_12304,Adventure Medical QuikClot® Advanced Clotting Sponge - 50g,"['length', 'width', 'color', 'height']","['6', '1', '0', '5']",-1
8377,ID_17298,Klaussner Furniture Picasso Twin Extra Long Mattress,"['finish', 'assembly', 'use']","['White', 'Assembly Required', 'Interior Dry']",-1
8376,ID_12500,79828 - Putco SSR Locker Side Rails,['color'],['Silver/Black'],-1
8374,ID_10450,"Spangler saf-t-pops, 60-count",['availability'],['3'],-1
8348,ID_12007,1979 Nickel Struck on Cent Planchet MS 65 RB ICG ERROR,['shipping'],['Calculated at checkout'],-1
8349,ID_11103,MKS AR-2 Road Pedals,"['level', 'age']","['Regular', '25-34']",-1
8353,ID_12024,Oriental Weavers Allure 6F Oriental Rug by Oriental Weavers,"['color', 'shape']","['Brown', 'Square']",-1
8354,ID_12025,Armored Cav (Tom Clancy's Military Reference),['paperback'],['352 pages'],-1
8355,ID_11077,Lexmark CS410dn,"['print_technology', 'cpu']","['Color Laser', 'Dual Core, 800 MHz']",-1
8356,ID_11078,GoPro Camera HERO+ LCD HD Video Recording Camera,"['battery', 'color']","['1 Lithium ion batteries required. (included)', 'Black']",-1
8359,ID_11062,8 STEEL HD PIPE WRENCH,['product'],['wrench'],-1
8360,ID_11052,Afghanistan Collectors Edition Book and Print,"['pages', 'format']","['192', 'Hardcover']",-1
8364,ID_11048,DS 5 1.6 BlueHDi (A) Authorised Dealer,"['seat', 'engine_layout', 'type', 'boot_capacity']","['5', 'Straight4', 'SUV', 'N.A']",-1
8365,ID_11108,Refrigerator Butter Storage Tray Part #: WP2151651,['category'],['Refrigerators and Freezers'],-1
8366,ID_10976,Samsung RT28K3043S8,"['door', 'color', 'door_alarm']","['Yes', 'Silver', 'Yes']",-1
8367,ID_11162,Del Monte California Sliced Yellow Cling Peaches in Light Syrup 106 oz. Can,['availability'],['12'],-1
8369,ID_10978,Ahmad Jamal - Chamber Music of the New Jazz CD,['discs'],['1'],-1
8370,ID_11895,Bhoutan: Terre de sérénité,['format'],['Hardback'],-1
8371,ID_11061,MMF Industries Tamper-Evident Deposit Bag,"['packaged_quantity', 'color']","['100 / Box', 'Clear']",-1
8372,ID_11733,Preowned- Bugaboo Cameleon 3 - Limited edition navy Blue And Accessories,"['ships_to', 'location']","['Free Local Pickup,', 'London,']",-1
